scope,duration_s,input,Th_universal,Th_learned,source_computation_id,mean_accuracy,mean_precision,mean_recall,gt_units_detected,gt_units_above_0_8_accuracy,sorter_units,sorted_spike_events,sorted_spike_events_per_s,true_positive_injected_spikes,false_positive_spikes_in_matched_clusters,sorter_run_time_s,mean_accuracy_common_7_gt_units,mean_precision_common_7_gt_units,mean_recall_common_7_gt_units,true_positive_injected_spikes_in_common_7_gt_units,false_negative_injected_spikes_in_common_7_gt_units,false_positive_spikes_in_common_7_gt_matched_clusters
full recording,7144.262,raw AP,9,8,2ad21011-a937-44dc-a370-5280049621ef;db76c533-9f39-46e6-98fe-e83adf56ea51;a2ccfc54-5109-44ef-9968-b3c1435fcffc;748787df-c7f1-4d45-9d51-9f9b5fd9cedc;418f3a7b-1e3a-4d11-a85d-191fd05a37da;a7a8065f-b4b2-43a4-acf6-b87e7ff02201,0.447095849094,0.585105767717,0.493924130686,7,2,672,24767972,3466.83422305,528844,119881,14642.2925349,0.638708355849,0.835865382453,0.70560590098,528844,220712,119881
full recording,7144.262,raw AP,9,10.75,fab61c02-f1d5-4d26-965b-2cdb47aad29b,0.254885683761,0.29448799042,0.256745693696,3,2,634,14886501,2083.70031782,274830,3565,13633.2323328,0.364122405373,0.420697129171,0.366779562423,274830,474726,3565
full recording,7144.262,Full96 omission0,9,8,db76c533-9f39-46e6-98fe-e83adf56ea51,0.448873210502,0.478177382073,0.613586770436,7,2,690,38486458,5387.04459607,657056,366462,18275.1856417,0.641247443574,0.683110545818,0.876552529195,657056,92500,366462
full recording,7144.262,Full96 omission0,9,10.75,a2ccfc54-5109-44ef-9968-b3c1435fcffc,0.454812357908,0.577857802678,0.509924644311,7,2,673,21345581,2987.79370073,546055,121759,16401.3900283,0.649731939868,0.825511146683,0.728463777587,546055,203501,121759
full recording,7144.262,Full96 omission1,9,8,2ad21011-a937-44dc-a370-5280049621ef,0.450272505143,0.48083858352,0.612424523101,7,2,725,38499041,5388.80586966,655819,360588,24674.5852995,0.643246435919,0.686912262171,0.874892175859,655819,93737,360588
full recording,7144.262,Full96 omission1,9,10,07338f3d-31b2-43d3-bc78-62b3a1852858,0.468761037792,0.562581582073,0.542986826953,7,2,689,24240616,3393.01890104,581454,156203,17265.5598858,0.669658625417,0.80368797439,0.775695467076,581454,168102,156203
full recording,7144.262,Full96 omission1,9,9,748787df-c7f1-4d45-9d51-9f9b5fd9cedc,0.471483006929,0.530306662641,0.582266962551,7,2,706,29684024,4154.94616519,623520,229311,17775.1509895,0.673547152755,0.75758094663,0.831809946501,623520,126036,229311
full recording,7144.262,Full96 omission1,9,10.75,418f3a7b-1e3a-4d11-a85d-191fd05a37da,0.453312752093,0.57832132735,0.507725104933,7,2,682,21350416,2988.47046763,543694,120202,16944.8343129,0.647589645847,0.826173324786,0.725321578475,543694,205862,120202
full recording,7144.262,Full96 omission1,10,9,a7a8065f-b4b2-43a4-acf6-b87e7ff02201,0.472037989352,0.536419009167,0.579874293365,7,2,718,29903890,4185.72135232,620953,224003,17748.9928216,0.674339984788,0.766312870239,0.828391847665,620953,128603,224003
20 min clip,1200,Full96 omission1,9,8,c474cfbf-d8ff-4548-93b6-7df282523473,0.462801093282,0.500350998261,0.710646310173,8,2,620,10044862,8370.71833333,127540,116908,2963.63171214,0.605619617897,0.615877816164,0.948093567903,119215,6510,113209
20 min clip,1200,Full96 omission1,9,9,c474cfbf-d8ff-4548-93b6-7df282523473,0.518740698883,0.557418518877,0.682987469372,8,2,624,7017694,5848.07833333,122612,63732,2465.9872011,0.708333869951,0.737866669819,0.926792805327,116546,9179,54971
20 min clip,1200,Full96 omission1,9,10,c474cfbf-d8ff-4548-93b6-7df282523473,0.520372039282,0.554654859504,0.632948853339,7,3,600,5228933,4357.44416667,113719,38307,2332.26769193,0.743388627545,0.792364085006,0.904212647627,113719,12006,38307
5 min clip,300,Full96 omission1,9,8,93d1865b-a451-45df-90b2-dbcf554544cb,0.40439461825,0.412539286451,0.65284590029,7,2,511,2298192,7660.64,29364,32340,649.339184509,0.577706597501,0.589341837788,0.932637000415,29364,2111,32340
5 min clip,300,Full96 omission1,9,9,93d1865b-a451-45df-90b2-dbcf554544cb,0.461463087074,0.493419354681,0.620209607423,7,2,478,1565148,5217.16,27906,19357,594.758427396,0.659232981534,0.704884792402,0.886013724891,27906,3569,19357
5 min clip,300,Full96 omission1,9,10,93d1865b-a451-45df-90b2-dbcf554544cb,0.500229251243,0.540275684589,0.599618771625,7,2,457,1208523,4028.41,26980,8559,575.984602525,0.714613216061,0.771822406555,0.856598245179,26980,4495,8559
