input,gt_unit_id,gt_spike_events,accuracy,precision,recall,true_positive_injected_spikes,matched_cluster_spikes,false_positive_spikes_in_matched_cluster
raw AP,94,106707,0,0,0,0,0,0
raw AP,337,107002,0.548780863484,0.757239561747,0.665940823536,71257,94101,22844
raw AP,664,107244,0.324226099247,0.953650965043,0.329417030323,35328,37045,1717
raw AP,720,106520,0,0,0,0,0,0
raw AP,793,107099,0.999206948993,0.999234917614,0.999971988534,107096,107178,82
raw AP,1122,107440,0.573090151668,0.90563715321,0.609484363366,65483,72306,6823
raw AP,1129,107344,0,0,0,0,0,0
raw AP,1143,106921,0.760839770252,0.832635402849,0.898205216936,96037,115341,19304
raw AP,1300,106792,0.264852019875,0.402669017615,0.43624990636,46588,115698,69110
raw AP,2143,107058,0.999962637424,0.999990659094,0.999971977806,107055,107056,1
Full96 omission0,94,106707,0,0,0,0,0,0
Full96 omission0,337,107002,0.497099715069,0.538607782603,0.865778209753,92640,171999,79359
Full96 omission0,664,107244,0.524629462388,0.645713631868,0.736684569766,79005,122353,43348
Full96 omission0,720,106520,0,0,0,0,0,0
Full96 omission0,793,107099,0.999701216609,0.999981320806,0.99971988534,107069,107071,2
Full96 omission0,1122,107440,0.610779990036,0.642972306218,0.924236783321,99300,154439,55139
Full96 omission0,1129,107344,0,0,0,0,0,0
Full96 omission0,1143,106921,0.456828058694,0.501915515111,0.835673067031,89351,178020,88669
Full96 omission0,1300,106792,0.399703002864,0.452592604764,0.773775189153,82633,182577,99944
Full96 omission0,2143,107058,0.999990659356,0.999990659356,1,107058,107059,1
Full96 omission1,94,106707,0,0,0,0,0,0
Full96 omission1,337,107002,0.506710889137,0.554244668803,0.855245696342,91513,165113,73600
Full96 omission1,664,107244,0.554654333345,0.681099592273,0.749226063929,80350,117971,37621
Full96 omission1,720,106520,0,0,0,0,0,0
Full96 omission1,793,107099,0.999747903867,0.99997198304,0.999775908272,107075,107078,3
Full96 omission1,1122,107440,0.598136294728,0.628429668489,0.925418838421,99427,158215,58788
Full96 omission1,1129,107344,0,0,0,0,0,0
Full96 omission1,1143,106921,0.45357029065,0.496886288589,0.838787516016,89684,180492,90808
Full96 omission1,1300,106792,0.391633342693,0.447772347103,0.75750056184,80895,180661,99766
Full96 omission1,2143,107058,0.998271997011,0.9999812869,0.998290646192,106875,106877,2
