domain,Th_learned,status,events,peel0_events,peel0_fraction,mean_peel,median_peel,q90_peel,weighted_mean_score,weighted_mean_score_margin,supported_max_peel
raw,8.0,tp,36050,9613,0.2666574202496533,1.6198335644937587,1.0,4.0,34.024511993556345,26.024511993556345,7.0
raw,8.0,fp_matched_cluster,0,0,,,,,,,
raw,8.0,unmatched_cluster,21112308,274344,0.01299450538519995,48.41888849859523,48.0,89.0,12.000701680303674,4.000701680303674,99.0
raw,10.75,tp,100597,9878,0.09819378311480462,7.69683986599998,6.0,17.0,22.776685054391542,12.026685054391542,36.0
raw,10.75,fp_matched_cluster,56509,39,0.0006901555504432922,22.1740253764887,22.0,37.0,13.04345489377337,2.2934548937733705,49.0
raw,10.75,unmatched_cluster,7934203,274282,0.034569571764170894,17.922166599468152,17.0,34.0,16.440549942788213,5.690549942788213,82.0
denoised,8.0,tp,125183,11230,0.0897086665122261,9.229831526644992,7.0,21.0,20.31251782632688,12.312517826326879,46.0
denoised,8.0,fp_matched_cluster,80624,47,0.0005829529668585037,26.506114804524707,25.0,46.0,10.847638029963706,2.847638029963706,64.0
denoised,8.0,unmatched_cluster,9978405,272595,0.027318494288415835,23.16824161777358,22.0,44.0,13.416550675431948,5.416550675431948,99.0
denoised,10.75,tp,110783,11230,0.10136934367186301,6.890452506250959,6.0,15.0,21.703518570766644,10.953518570766644,28.0
denoised,10.75,fp_matched_cluster,30931,45,0.0014548511202353625,13.138695806795772,13.0,22.0,13.74188534671053,2.9918853467105304,29.0
denoised,10.75,unmatched_cluster,4281150,273346,0.06384873223316165,9.60284432921061,9.0,19.0,19.24198755179232,8.49198755179232,51.0
