domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw,8.0,detection_template,unmatched_cluster,0,275004,42.59315490722656,28.883331298828125,41.146339416503906,57.49663543701172
raw,8.0,detection_template,unmatched_cluster,1,251944,33.53377914428711,22.98891830444336,33.158592224121094,44.34591293334961
raw,8.0,detection_template,unmatched_cluster,2,243839,28.763212203979492,20.12183952331543,28.489347457885742,37.56609344482422
raw,8.0,detection_template,unmatched_cluster,3,238903,25.587547302246094,18.065601348876953,24.99356460571289,33.68952178955078
raw,8.0,detection_template,unmatched_cluster,4,235035,23.21308708190918,16.643688201904297,22.566007614135742,30.646116256713867
raw,8.0,detection_template,unmatched_cluster,5,231017,21.360713958740234,15.622111320495605,20.82414436340332,27.916763305664062
raw,8.0,detection_template,unmatched_cluster,6,227993,19.868925094604492,14.864306449890137,19.33285903930664,25.59764289855957
raw,8.0,detection_template,unmatched_cluster,7,225896,18.656177520751953,14.277913093566895,18.07525634765625,23.714876174926758
raw,8.0,detection_template,unmatched_cluster,8,223883,17.649892807006836,13.813576698303223,17.028675079345703,22.269079208374023
raw,8.0,detection_template,unmatched_cluster,9,221967,16.810970306396484,13.439929962158203,16.199373245239258,21.020307540893555
raw,8.0,detection_template,unmatched_cluster,10,221025,16.091503143310547,13.116272926330566,15.502986907958984,19.916587829589844
raw,8.0,detection_template,unmatched_cluster,11,219713,15.490478515625,12.835603713989258,14.947381019592285,18.931476593017578
raw,8.0,detection_template,unmatched_cluster,12,219282,14.970418930053711,12.589851379394531,14.483951568603516,18.018346786499023
raw,8.0,detection_template,unmatched_cluster,13,218437,14.522455215454102,12.374757766723633,14.085766792297363,17.23175048828125
raw,8.0,detection_template,unmatched_cluster,14,218095,14.13111400604248,12.18179988861084,13.747992515563965,16.56214714050293
raw,8.0,detection_template,unmatched_cluster,15,217673,13.78970718383789,12.004762649536133,13.448569297790527,15.970987319946289
raw,8.0,detection_template,unmatched_cluster,16,217732,13.488737106323242,11.845255851745605,13.185759544372559,15.46760368347168
raw,8.0,detection_template,unmatched_cluster,17,217237,13.222809791564941,11.69600772857666,12.952459335327148,15.040308952331543
raw,8.0,detection_template,unmatched_cluster,18,216855,12.980210304260254,11.555953025817871,12.73609447479248,14.661603927612305
raw,8.0,detection_template,unmatched_cluster,19,216749,12.763885498046875,11.426581382751465,12.544013023376465,14.322365760803223
raw,8.0,detection_template,unmatched_cluster,20,216684,12.569643020629883,11.309677124023438,12.371053695678711,14.021001815795898
raw,8.0,detection_template,unmatched_cluster,21,216615,12.3892183303833,11.19787311553955,12.208803176879883,13.753999710083008
raw,8.0,detection_template,unmatched_cluster,22,216160,12.225330352783203,11.092010498046875,12.059958457946777,13.510231018066406
raw,8.0,detection_template,unmatched_cluster,23,215643,12.073290824890137,10.992929458618164,11.922282218933105,13.293936729431152
raw,8.0,detection_template,unmatched_cluster,24,215653,11.933281898498535,10.902270317077637,11.79243278503418,13.093148231506348
raw,8.0,detection_template,unmatched_cluster,25,215688,11.8018217086792,10.810589790344238,11.670438766479492,12.910538673400879
raw,8.0,detection_template,unmatched_cluster,26,215548,11.677157402038574,10.726031303405762,11.552995681762695,12.740591049194336
raw,8.0,detection_template,unmatched_cluster,27,215793,11.561302185058594,10.642486572265625,11.444644927978516,12.587544441223145
raw,8.0,detection_template,unmatched_cluster,28,215658,11.453261375427246,10.563907623291016,11.345090866088867,12.438508987426758
raw,8.0,detection_template,unmatched_cluster,29,215217,11.348904609680176,10.490483283996582,11.245983123779297,12.299246788024902
raw,8.0,detection_template,unmatched_cluster,30,215569,11.251836776733398,10.418845176696777,11.15674114227295,12.169240951538086
raw,8.0,detection_template,unmatched_cluster,31,215234,11.157889366149902,10.347495079040527,11.065580368041992,12.04542064666748
raw,8.0,detection_template,unmatched_cluster,32,215489,11.067665100097656,10.27810287475586,10.981217384338379,11.928231239318848
raw,8.0,detection_template,unmatched_cluster,33,215171,10.98295783996582,10.215458869934082,10.90108871459961,11.817060470581055
raw,8.0,detection_template,unmatched_cluster,34,215102,10.902154922485352,10.154195785522461,10.8209228515625,11.717389106750488
raw,8.0,detection_template,unmatched_cluster,35,215122,10.825108528137207,10.094395637512207,10.74975299835205,11.622132301330566
raw,8.0,detection_template,unmatched_cluster,36,214942,10.75203800201416,10.036821365356445,10.676137924194336,11.529874801635742
raw,8.0,detection_template,unmatched_cluster,37,214546,10.680825233459473,9.980207443237305,10.609111785888672,11.442628860473633
raw,8.0,detection_template,unmatched_cluster,38,214631,10.612031936645508,9.925034523010254,10.543395042419434,11.357438087463379
raw,8.0,detection_template,unmatched_cluster,39,214964,10.544548988342285,9.869742393493652,10.476221084594727,11.272945404052734
raw,8.0,detection_template,unmatched_cluster,40,214704,10.480180740356445,9.818131446838379,10.414203643798828,11.194815635681152
raw,8.0,detection_template,unmatched_cluster,41,214656,10.418364524841309,9.767744064331055,10.353462219238281,11.121383666992188
raw,8.0,detection_template,unmatched_cluster,42,214403,10.35807991027832,9.71873950958252,10.295549392700195,11.048090934753418
raw,8.0,detection_template,unmatched_cluster,43,214292,10.299653053283691,9.670720100402832,10.238121032714844,10.977588653564453
raw,8.0,detection_template,unmatched_cluster,44,214352,10.24356460571289,9.624480247497559,10.183155059814453,10.9098539352417
raw,8.0,detection_template,unmatched_cluster,45,214073,10.188482284545898,9.578433990478516,10.130473136901855,10.843847274780273
raw,8.0,detection_template,unmatched_cluster,46,214322,10.136160850524902,9.53443717956543,10.079668045043945,10.781272888183594
raw,8.0,detection_template,unmatched_cluster,47,214163,10.083359718322754,9.492304801940918,10.02804946899414,10.719042778015137
raw,8.0,detection_template,unmatched_cluster,48,213972,10.033493041992188,9.449495315551758,9.97700023651123,10.660726547241211
raw,8.0,detection_template,unmatched_cluster,49,213879,9.98418140411377,9.407154083251953,9.928898811340332,10.602767944335938
raw,8.0,detection_template,unmatched_cluster,50,213731,9.937103271484375,9.366808891296387,9.881667137145996,10.546235084533691
raw,8.0,detection_template,unmatched_cluster,51,214061,9.890231132507324,9.329405784606934,9.836824417114258,10.490729331970215
raw,8.0,detection_template,unmatched_cluster,52,214090,9.845320701599121,9.290253639221191,9.792552947998047,10.439233779907227
raw,8.0,detection_template,unmatched_cluster,53,214204,9.800374984741211,9.25142765045166,9.747703552246094,10.386462211608887
raw,8.0,detection_template,unmatched_cluster,54,213898,9.758688926696777,9.215604782104492,9.706586837768555,10.338051795959473
raw,8.0,detection_template,unmatched_cluster,55,213757,9.715840339660645,9.178433418273926,9.665495872497559,10.289155006408691
raw,8.0,detection_template,unmatched_cluster,56,213769,9.673364639282227,9.14139175415039,9.624034881591797,10.242347717285156
raw,8.0,detection_template,unmatched_cluster,57,214188,9.632904052734375,9.107510566711426,9.584026336669922,10.194103240966797
raw,8.0,detection_template,unmatched_cluster,58,214026,9.594297409057617,9.073542594909668,9.545085906982422,10.151773452758789
raw,8.0,detection_template,unmatched_cluster,59,213877,9.55517578125,9.03947639465332,9.506889343261719,10.106091499328613
raw,8.0,detection_template,unmatched_cluster,60,213750,9.517440795898438,9.005931854248047,9.470146179199219,10.062820434570312
raw,8.0,detection_template,unmatched_cluster,61,213886,9.480151176452637,8.97282600402832,9.432607650756836,10.01992416381836
raw,8.0,detection_template,unmatched_cluster,62,213865,9.443157196044922,8.939839363098145,9.395794868469238,9.978474617004395
raw,8.0,detection_template,unmatched_cluster,63,213639,9.407272338867188,8.909537315368652,9.3607816696167,9.936214447021484
raw,8.0,detection_template,unmatched_cluster,64,213265,9.372194290161133,8.878975868225098,9.326196670532227,9.895617485046387
raw,8.0,detection_template,unmatched_cluster,65,213250,9.338284492492676,8.848434448242188,9.292367935180664,9.85853099822998
raw,8.0,detection_template,unmatched_cluster,66,212795,9.305294036865234,8.819254875183105,9.258953094482422,9.821921348571777
raw,8.0,detection_template,unmatched_cluster,67,212909,9.270889282226562,8.78759765625,9.22580337524414,9.784018516540527
