domain,Th_learned,stage,events_present,events_removed,clusters,matched_gt_units,tp,fn,fp_in_matched_clusters,events_in_unmatched_clusters,pooled_precision,pooled_recall,gt_proximal_events_any_unit,gt_negative_events_any_unit,template_learning_sort_identity
raw,8.0,detection_template,21834516,0,651,7,109544,69822,179092,21545880,0.37952299782424925,0.6107289006835186,179360,21655156,
raw,8.0,final_clustering,21834516,0,433,2,36050,143316,4,21798462,0.99988905530593,0.20098569405572964,179360,21655156,
raw,8.0,cluster_merging,21834516,0,369,2,36050,143316,4,21798462,0.99988905530593,0.20098569405572964,179360,21655156,
raw,8.0,duplicate_removal,21148358,686158,369,2,36050,143316,0,21112308,1.0,0.20098569405572964,179360,20968998,
raw,10.75,detection_template,8137701,0,651,7,112886,66480,68626,7956189,0.6219203138084535,0.6293611944292675,179027,7958674,
raw,10.75,final_clustering,8137701,0,523,6,100597,78769,56531,7980573,0.6402232574716155,0.5608476522863864,179027,7958674,
raw,10.75,cluster_merging,8137701,0,455,6,100597,78769,56531,7980573,0.6402232574716155,0.5608476522863864,179023,7958678,
raw,10.75,duplicate_removal,8091309,46392,455,6,100597,78769,56509,7934203,0.6403129097551972,0.5608476522863864,179023,7912286,
denoised,8.0,detection_template,10203192,0,651,8,127103,52263,99669,9976420,0.5604880673098972,0.7086237079491097,179283,10023909,
denoised,8.0,final_clustering,10203192,0,726,8,125183,54183,80678,9997331,0.6080947824017177,0.6979193381131318,179283,10023909,
denoised,8.0,cluster_merging,10203192,0,649,8,125183,54183,80678,9997331,0.6080947824017177,0.6979193381131318,179283,10023909,
denoised,8.0,duplicate_removal,10184212,18980,649,8,125183,54183,80624,9978405,0.6082543353724607,0.6979193381131318,179283,10004929,exact
denoised,10.75,detection_template,4428486,0,650,7,110631,68735,30132,4287723,0.7859380661111229,0.6167891350646165,175348,4253138,
denoised,10.75,final_clustering,4428486,0,684,7,110783,68583,30947,4286756,0.781648204332181,0.6176365643432981,175348,4253138,
denoised,10.75,cluster_merging,4428486,0,614,7,110783,68583,30947,4286756,0.781648204332181,0.6176365643432981,175359,4253127,
denoised,10.75,duplicate_removal,4422864,5622,614,7,110783,68583,30931,4281150,0.7817364551138208,0.6176365643432981,175359,4247505,
