domain,peel,fp_events,tp_events,matched_events,fp_fraction,fp_share,fp_cumulative
denoised,0,45,11230,11275,0.003991130820399113,0.0014548511202353625,0.0014548511202353625
denoised,1,166,11914,12080,0.013741721854304636,0.005366784132423782,0.006821635252659145
denoised,2,371,9341,9712,0.0382001647446458,0.011994439235718211,0.018816074488377355
denoised,3,650,7026,7676,0.08467952058363731,0.02101451618117746,0.03983059066955481
denoised,4,922,6363,7285,0.1265614275909403,0.029808282952377873,0.06963887362193269
denoised,5,1142,6423,7565,0.15095836087243886,0.036920888429084094,0.10655976205101678
denoised,6,1327,6570,7897,0.16803849563125237,0.04290194303449614,0.14946170508551293
denoised,7,1644,6627,8271,0.19876677548059485,0.053150560925931914,0.20261226601144483
denoised,8,1695,6415,8110,0.20900123304562268,0.05479939219553199,0.2574116582069768
denoised,9,1837,6090,7927,0.2317396240696354,0.059390255730496916,0.31680191393747376
denoised,10,1911,5503,7414,0.2577555975182088,0.06178267757266173,0.37858459151013546
denoised,11,1928,4851,6779,0.284407729753651,0.062332287995861754,0.44091687950599723
denoised,12,1796,4284,6080,0.29539473684210527,0.05806472470983803,0.49898160421583526
denoised,13,1852,3625,5477,0.33814131823991234,0.0598752061039087,0.558856810319744
denoised,14,1748,2961,4709,0.37120407729878957,0.05651288351492031,0.6153696938346642
denoised,15,1650,2445,4095,0.40293040293040294,0.053344541075296625,0.6687142349099608
denoised,16,1525,1998,3523,0.4328697133125177,0.049303287963531735,0.7180175228734926
denoised,17,1405,1604,3009,0.4669325357261549,0.04542368497623743,0.76344120784973
denoised,18,1295,1217,2512,0.5155254777070064,0.041867382237884325,0.8053085900876144
denoised,19,1052,975,2027,0.5189935865811545,0.03401118618861337,0.8393197762762278
denoised,20,938,777,1715,0.5469387755102041,0.03032556335068378,0.8696453396269115
denoised,21,801,633,1434,0.5585774058577406,0.025896349940189453,0.895541689567101
denoised,22,689,434,1123,0.6135351736420303,0.022275387152048107,0.917817076719149
denoised,23,574,355,929,0.6178686759956943,0.018557434289224402,0.9363745110083734
denoised,24,446,266,712,0.6264044943820225,0.01441919110277715,0.9507937021111507
denoised,25,346,201,547,0.6325411334552102,0.011186188613365232,0.9619798907245158
denoised,26,281,137,418,0.6722488038277512,0.009084736995247486,0.9710646277197633
denoised,27,206,117,323,0.6377708978328174,0.0066599851281885485,0.9777246128479519
denoised,28,169,100,269,0.6282527881040892,0.00546377420710614,0.9831883870550581
denoised,29,126,67,193,0.6528497409326425,0.004073583136659015,0.987261970191717
denoised,30,93,53,146,0.636986301369863,0.0030066923151530825,0.9902686625068702
denoised,31,67,45,112,0.5982142857142857,0.0021661116679059845,0.9924347741747761
denoised,32,52,28,80,0.65,0.0016811612944941969,0.9941159354692704
denoised,33,37,20,57,0.6491228070175439,0.0011962109210824092,0.9953121463903527
denoised,34,35,20,55,0.6363636363636364,0.001131550871294171,0.9964436972616469
denoised,35,23,13,36,0.6388888888888888,0.0007435905725647409,0.9971872878342116
denoised,36,14,12,26,0.5384615384615384,0.0004526203485176684,0.9976399081827293
denoised,37,22,5,27,0.8148148148148148,0.0007112605476706217,0.9983511687304
denoised,38,11,6,17,0.6470588235294118,0.0003556302738353108,0.9987067990042352
denoised,39,9,3,12,0.75,0.0002909702240470725,0.9989977692282823
denoised,40,7,4,11,0.6363636363636364,0.0002263101742588342,0.9992240794025411
denoised,41,3,6,9,0.3333333333333333,9.699007468235751e-05,0.9993210694772235
denoised,42,3,3,6,0.5,9.699007468235751e-05,0.9994180595519059
denoised,43,3,2,5,0.6,9.699007468235751e-05,0.9995150496265882
denoised,44,3,3,6,0.5,9.699007468235751e-05,0.9996120397012705
denoised,45,0,2,2,0.0,0.0,0.9996120397012705
denoised,46,3,1,4,0.75,9.699007468235751e-05,0.9997090297759529
denoised,47,2,0,2,1.0,6.466004978823833e-05,0.9997736898257412
denoised,48,0,1,1,0.0,0.0,0.9997736898257412
denoised,49,2,0,2,1.0,6.466004978823833e-05,0.9998383498755294
denoised,50,0,0,0,0.0,0.0,0.9998383498755294
denoised,51,1,1,2,0.5,3.2330024894119166e-05,0.9998706799004236
denoised,52,0,0,0,0.0,0.0,0.9998706799004236
denoised,53,1,0,1,1.0,3.2330024894119166e-05,0.9999030099253177
denoised,54,1,0,1,1.0,3.2330024894119166e-05,0.9999353399502118
denoised,55,0,0,0,0.0,0.0,0.9999353399502118
denoised,56,0,0,0,0.0,0.0,0.9999353399502118
denoised,57,0,1,1,0.0,0.0,0.9999353399502118
denoised,58,0,1,1,0.0,0.0,0.9999353399502118
denoised,59,0,0,0,0.0,0.0,0.9999353399502118
denoised,60,0,1,1,0.0,0.0,0.9999353399502118
denoised,61,0,0,0,0.0,0.0,0.9999353399502118
denoised,62,0,0,0,0.0,0.0,0.9999353399502118
denoised,63,0,0,0,0.0,0.0,0.9999353399502118
denoised,64,0,1,1,0.0,0.0,0.9999353399502118
denoised,65,1,0,1,1.0,3.2330024894119166e-05,0.9999676699751059
denoised,66,0,0,0,0.0,0.0,0.9999676699751059
denoised,67,0,0,0,0.0,0.0,0.9999676699751059
denoised,68,0,0,0,0.0,0.0,0.9999676699751059
denoised,69,0,0,0,0.0,0.0,0.9999676699751059
denoised,70,0,0,0,0.0,0.0,0.9999676699751059
denoised,71,0,0,0,0.0,0.0,0.9999676699751059
denoised,72,0,0,0,0.0,0.0,0.9999676699751059
denoised,73,0,0,0,0.0,0.0,0.9999676699751059
denoised,74,0,0,0,0.0,0.0,0.9999676699751059
denoised,75,0,0,0,0.0,0.0,0.9999676699751059
denoised,76,0,0,0,0.0,0.0,0.9999676699751059
denoised,77,0,0,0,0.0,0.0,0.9999676699751059
denoised,78,0,0,0,0.0,0.0,0.9999676699751059
denoised,79,0,0,0,0.0,0.0,0.9999676699751059
denoised,80,0,1,1,0.0,0.0,0.9999676699751059
denoised,81,0,0,0,0.0,0.0,0.9999676699751059
denoised,82,0,0,0,0.0,0.0,0.9999676699751059
denoised,83,0,0,0,0.0,0.0,0.9999676699751059
denoised,84,0,1,1,0.0,0.0,0.9999676699751059
denoised,85,0,0,0,0.0,0.0,0.9999676699751059
denoised,86,0,0,0,0.0,0.0,0.9999676699751059
denoised,87,0,0,0,0.0,0.0,0.9999676699751059
denoised,88,0,0,0,0.0,0.0,0.9999676699751059
denoised,89,0,0,0,0.0,0.0,0.9999676699751059
denoised,90,0,0,0,0.0,0.0,0.9999676699751059
denoised,91,0,0,0,0.0,0.0,0.9999676699751059
denoised,92,0,0,0,0.0,0.0,0.9999676699751059
denoised,93,0,0,0,0.0,0.0,0.9999676699751059
denoised,94,0,0,0,0.0,0.0,0.9999676699751059
denoised,95,0,0,0,0.0,0.0,0.9999676699751059
denoised,96,0,0,0,0.0,0.0,0.9999676699751059
denoised,97,1,0,1,1.0,3.2330024894119166e-05,1.0
raw,0,39,9878,9917,0.003932640919632953,0.0006901555504432922,0.0006901555504432922
raw,1,146,11502,11648,0.01253434065934066,0.0025836592401210427,0.003273814790564335
raw,2,281,9184,9465,0.029688325409403065,0.004972659222424746,0.00824647401298908
raw,3,490,6945,7435,0.06590450571620712,0.008671185120954184,0.016917659133943264
raw,4,695,5744,6439,0.10793601490914738,0.012298925834822772,0.029216584968766036
raw,5,888,5336,6224,0.14267352185089974,0.015714310994708807,0.04493089596347484
raw,6,1079,5320,6399,0.16862009689013907,0.01909430356226442,0.06402519952573926
raw,7,1256,5205,6461,0.194397152143631,0.022226547983507053,0.08625174750924632
raw,8,1339,5036,6375,0.2100392156862745,0.0236953405652197,0.10994708807446602
raw,9,1465,4711,6176,0.23720854922279794,0.02592507388203649,0.1358721619565025
raw,10,1501,4182,5683,0.26412106281893366,0.026562140543984144,0.16243430250048665
raw,11,1598,3659,5257,0.30397565151226935,0.02827868127200977,0.1907129837724964
raw,12,1520,3223,4743,0.32047227493147795,0.026898370171123183,0.2176113539436196
raw,13,1569,2821,4390,0.3574031890660592,0.0277654886832186,0.2453768426268382
raw,14,1635,2421,4056,0.4031065088757396,0.028933444230122635,0.27431028685696085
raw,15,1774,2168,3942,0.450025367833587,0.03139322939708719,0.305703516254048
raw,16,1766,1783,3549,0.4976049591434207,0.031251659027765485,0.3369551752818135
raw,17,1814,1558,3372,0.5379596678529063,0.03210108124369569,0.3690562565255092
raw,18,1761,1287,3048,0.577755905511811,0.031163177546939425,0.40021943407244864
raw,19,1799,1167,2966,0.6065407956844234,0.0318356368012175,0.4320550708736661
raw,20,1830,942,2772,0.6601731601731602,0.0323842219823391,0.4644392928560052
raw,21,1815,780,2595,0.6994219653179191,0.03211877753986091,0.49655807039586614
raw,22,1887,708,2595,0.7271676300578035,0.03339291086375622,0.5299509812596224
raw,23,1786,608,2394,0.746031746031746,0.03160558495106974,0.561556566210692
raw,24,1816,555,2371,0.7659215520877267,0.03213647383602612,0.5936930400467182
raw,25,1823,491,2314,0.7878133102852204,0.032260347909182606,0.6259533879559008
raw,26,1805,399,2204,0.8189655172413793,0.03194181457820878,0.6578952025341096
raw,27,1740,381,2121,0.8203677510608204,0.03079155532746996,0.6886867578615795
raw,28,1657,368,2025,0.8182716049382716,0.029322762745757312,0.7180095206073369
raw,29,1563,313,1876,0.8331556503198294,0.027659310906227325,0.7456688315135642
raw,30,1515,250,1765,0.8583569405099151,0.026809888690297122,0.7724787202038613
raw,31,1398,262,1660,0.8421686746987952,0.024739422038967243,0.7972181422428286
raw,32,1329,206,1535,0.8657980456026059,0.023518377603567574,0.8207365198463962
raw,33,1233,192,1425,0.8652631578947368,0.02181953317170716,0.8425560530181033
raw,34,1154,146,1300,0.8876923076923077,0.020421525774655364,0.8629775787927587
