input,Th_learned,gt_unit_id,gt_spike_events,accuracy,precision,recall,true_positive_injected_spikes,matched_cluster_spikes,false_positive_spikes_in_matched_cluster
raw AP,8,94,106707,0,0,0,0,0,0
raw AP,8,337,107002,0.548780863484,0.757239561747,0.665940823536,71257,94101,22844
raw AP,8,664,107244,0.324226099247,0.953650965043,0.329417030323,35328,37045,1717
raw AP,8,720,106520,0,0,0,0,0,0
raw AP,8,793,107099,0.999206948993,0.999234917614,0.999971988534,107096,107178,82
raw AP,8,1122,107440,0.573090151668,0.90563715321,0.609484363366,65483,72306,6823
raw AP,8,1129,107344,0,0,0,0,0,0
raw AP,8,1143,106921,0.760839770252,0.832635402849,0.898205216936,96037,115341,19304
raw AP,8,1300,106792,0.264852019875,0.402669017615,0.43624990636,46588,115698,69110
raw AP,8,2143,107058,0.999962637424,0.999990659094,0.999971977806,107055,107056,1
Full96 omission1 Th_learned=8,8,94,106707,0,0,0,0,0,0
Full96 omission1 Th_learned=8,8,337,107002,0.506710889137,0.554244668803,0.855245696342,91513,165113,73600
Full96 omission1 Th_learned=8,8,664,107244,0.554654333345,0.681099592273,0.749226063929,80350,117971,37621
Full96 omission1 Th_learned=8,8,720,106520,0,0,0,0,0,0
Full96 omission1 Th_learned=8,8,793,107099,0.999747903867,0.99997198304,0.999775908272,107075,107078,3
Full96 omission1 Th_learned=8,8,1122,107440,0.598136294728,0.628429668489,0.925418838421,99427,158215,58788
Full96 omission1 Th_learned=8,8,1129,107344,0,0,0,0,0,0
Full96 omission1 Th_learned=8,8,1143,106921,0.45357029065,0.496886288589,0.838787516016,89684,180492,90808
Full96 omission1 Th_learned=8,8,1300,106792,0.391633342693,0.447772347103,0.75750056184,80895,180661,99766
Full96 omission1 Th_learned=8,8,2143,107058,0.998271997011,0.9999812869,0.998290646192,106875,106877,2
Full96 omission1 Th_learned=9,9,94,106707,0,0,0,0,0,0
Full96 omission1 Th_learned=9,9,337,107002,0.5118707447,0.579858798455,0.813629651782,87060,150140,63080
Full96 omission1 Th_learned=9,9,664,107244,0.563233128733,0.833082504374,0.634879340569,68087,81729,13642
Full96 omission1 Th_learned=9,9,720,106520,0,0,0,0,0,0
Full96 omission1 Th_learned=9,9,793,107099,0.999897295127,0.999962650332,0.999934639913,107092,107096,4
Full96 omission1 Th_learned=9,9,1122,107440,0.689429612271,0.761746509321,0.878965003723,94436,123973,29537
Full96 omission1 Th_learned=9,9,1129,107344,0,0,0,0,0,0
Full96 omission1 Th_learned=9,9,1143,106921,0.530666052477,0.601247090009,0.818856913048,87553,145619,58066
Full96 omission1 Th_learned=9,9,1300,106792,0.42179749901,0.527187793325,0.678449696606,72453,137433,64980
Full96 omission1 Th_learned=9,9,2143,107058,0.99793573697,0.999981280595,0.997954379869,106839,106841,2
