gt_unit_id,candidate,reference_accuracy,candidate_accuracy,delta_accuracy,reference_precision,candidate_precision,delta_precision,reference_recall,candidate_recall,delta_recall,reference_true_positive_injected_spikes,candidate_true_positive_injected_spikes,delta_true_positive_injected_spikes,reference_false_positive_spikes_in_matched_cluster,candidate_false_positive_spikes_in_matched_cluster,delta_false_positive_spikes_in_matched_cluster
94,9/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,9/10,0.5118707447,0.503871389826,-0.00799935487384,0.579858798455,0.611329886023,0.0314710875682,0.813629651782,0.7413693202,-0.0722603315826,87060,79328,-7732,63080,50435,-12645
664,9/10,0.563233128733,0.468331862312,-0.0949012664204,0.833082504374,0.897560810582,0.064478306208,0.634879340569,0.494778262653,-0.140101077916,68087,53062,-15025,13642,6056,-7586
720,9/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,9/10,0.999897295127,0.999729288215,-0.000168006912418,0.999962650332,0.999757286085,-0.000205364247387,0.999934639913,0.999971988534,3.73486213689e-05,107092,107096,4,4,26,22
1122,9/10,0.689429612271,0.724797032763,0.0353674204926,0.761746509321,0.863633238723,0.101886729402,0.878965003723,0.818466120625,-0.0604988830975,94436,87936,-6500,29537,13885,-15652
1129,9/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,9/10,0.530666052477,0.606142211308,0.0754761588308,0.601247090009,0.704656236567,0.103409146558,0.818856913048,0.812581251578,-0.00627566146968,87553,86882,-671,58066,36415,-21651
1300,9/10,0.42179749901,0.384775955025,-0.0370215439858,0.527187793325,0.548915724282,0.0217279309568,0.678449696606,0.562701325942,-0.115748370664,72453,60092,-12361,64980,49382,-15598
2143,9/10,0.99793573697,0.999962638471,0.00202690150124,0.999981280595,0.999962638471,-1.8642123362e-05,0.997954379869,1,0.00204562013114,106839,107058,219,2,4,2
94,9/10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,9/10.75,0.5118707447,0.479859343603,-0.0320114010961,0.579858798455,0.628772785916,0.0489139874607,0.813629651782,0.669548232743,-0.144081419039,87060,71643,-15417,63080,42298,-20782
664,9/10.75,0.563233128733,0.374651747389,-0.188581381344,0.833082504374,0.933330318993,0.100247814618,0.634879340569,0.384953936817,-0.249925403752,68087,41284,-26803,13642,2949,-10693
720,9/10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,9/10.75,0.999897295127,0.999328145121,-0.000569150006467,0.999962650332,0.999374772539,-0.000587877793895,0.999934639913,0.999953314223,1.86743106846e-05,107092,107094,2,4,67,63
1122,9/10.75,0.689429612271,0.703007100217,0.013577487946,0.761746509321,0.898061226723,0.136314717402,0.878965003723,0.763970588235,-0.114994415488,94436,82081,-12355,29537,9317,-20220
1129,9/10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,9/10.75,0.530666052477,0.631365784145,0.100699731668,0.601247090009,0.761196864064,0.159949774055,0.818856913048,0.787310257106,-0.0315466559422,87553,84180,-3373,58066,26409,-31657
1300,9/10.75,0.42179749901,0.345027476669,-0.0767700223415,0.527187793325,0.56258938148,0.0354015881554,0.678449696606,0.471514720204,-0.206934976403,72453,50354,-22099,64980,39150,-25830
2143,9/10.75,0.99793573697,0.999887923788,0.00195218681825,0.999981280595,0.999887923788,-9.33568063524e-05,0.997954379869,1,0.00204562013114,106839,107058,219,2,12,10
94,10/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,10/9,0.5118707447,0.5214880394,0.00961729470001,0.579858798455,0.583234428175,0.00337562972041,0.813629651782,0.831246144932,0.0176164931497,87060,88945,1885,63080,63558,478
664,10/9,0.563233128733,0.558014493883,-0.0052186348499,0.833082504374,0.886481802426,0.0533992980521,0.634879340569,0.600956696878,-0.033922643691,68087,64449,-3638,13642,8253,-5389
720,10/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,10/9,0.999897295127,0.999775937561,-0.000121357565854,0.999962650332,0.999869284707,-9.33656251676e-05,0.999934639913,0.999906628447,-2.80114660266e-05,107092,107089,-3,4,14,10
1122,10/9,0.689429612271,0.694376006648,0.0049463943778,0.761746509321,0.767938769866,0.00619226054587,0.878965003723,0.878769545793,-0.000195457930008,94436,94415,-21,29537,28531,-1006
1129,10/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,10/9,0.530666052477,0.550884845773,0.0202187932965,0.601247090009,0.621416455217,0.0201693652082,0.818856913048,0.82916358807,0.0103066750217,87553,88655,1102,58066,54011,-4055
1300,10/9,0.42179749901,0.403098182808,-0.0186993162028,0.527187793325,0.50526816861,-0.0219196247149,0.678449696606,0.665939396209,-0.012510300397,72453,71117,-1336,64980,69634,4654
2143,10/9,0.99793573697,0.992742387446,-0.00519334952363,0.999981280595,0.999981182669,-9.7925289988e-08,0.997954379869,0.992760933326,-0.005193446543,106839,106283,-556,2,2,0
