input,Th_universal,Th_learned,gt_unit_id,gt_spike_events,accuracy,precision,recall,true_positive_injected_spikes,matched_cluster_spikes,false_positive_spikes_in_matched_cluster
raw AP 9/8,9,8,94,106707,0,0,0,0,0,0
raw AP 9/8,9,8,337,107002,0.548780863484,0.757239561747,0.665940823536,71257,94101,22844
raw AP 9/8,9,8,664,107244,0.324226099247,0.953650965043,0.329417030323,35328,37045,1717
raw AP 9/8,9,8,720,106520,0,0,0,0,0,0
raw AP 9/8,9,8,793,107099,0.999206948993,0.999234917614,0.999971988534,107096,107178,82
raw AP 9/8,9,8,1122,107440,0.573090151668,0.90563715321,0.609484363366,65483,72306,6823
raw AP 9/8,9,8,1129,107344,0,0,0,0,0,0
raw AP 9/8,9,8,1143,106921,0.760839770252,0.832635402849,0.898205216936,96037,115341,19304
raw AP 9/8,9,8,1300,106792,0.264852019875,0.402669017615,0.43624990636,46588,115698,69110
raw AP 9/8,9,8,2143,107058,0.999962637424,0.999990659094,0.999971977806,107055,107056,1
raw AP 9/10.75,9,10.75,94,106707,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,337,107002,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,664,107244,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,720,106520,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,793,107099,0.999206689937,0.999561190574,0.999645188097,107061,107108,47
raw AP 9/10.75,9,10.75,1122,107440,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,1129,107344,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,1143,106921,0.54980891489,0.945477480845,0.567811748861,60711,64212,3501
raw AP 9/10.75,9,10.75,1300,106792,0,0,0,0,0,0
raw AP 9/10.75,9,10.75,2143,107058,0.999841232781,0.999841232781,1,107058,107075,17
Full96 omission1 9/8,9,8,94,106707,0,0,0,0,0,0
Full96 omission1 9/8,9,8,337,107002,0.506710889137,0.554244668803,0.855245696342,91513,165113,73600
Full96 omission1 9/8,9,8,664,107244,0.554654333345,0.681099592273,0.749226063929,80350,117971,37621
Full96 omission1 9/8,9,8,720,106520,0,0,0,0,0,0
Full96 omission1 9/8,9,8,793,107099,0.999747903867,0.99997198304,0.999775908272,107075,107078,3
Full96 omission1 9/8,9,8,1122,107440,0.598136294728,0.628429668489,0.925418838421,99427,158215,58788
Full96 omission1 9/8,9,8,1129,107344,0,0,0,0,0,0
Full96 omission1 9/8,9,8,1143,106921,0.45357029065,0.496886288589,0.838787516016,89684,180492,90808
Full96 omission1 9/8,9,8,1300,106792,0.391633342693,0.447772347103,0.75750056184,80895,180661,99766
Full96 omission1 9/8,9,8,2143,107058,0.998271997011,0.9999812869,0.998290646192,106875,106877,2
Full96 omission1 9/10,9,10,2143,107058,0.999962638471,0.999962638471,1,107058,107062,4
Full96 omission1 9/10,9,10,94,106707,0,0,0,0,0,0
Full96 omission1 9/10,9,10,337,107002,0.503871389826,0.611329886023,0.7413693202,79328,129763,50435
Full96 omission1 9/10,9,10,1143,106921,0.606142211308,0.704656236567,0.812581251578,86882,123297,36415
Full96 omission1 9/10,9,10,720,106520,0,0,0,0,0,0
Full96 omission1 9/10,9,10,664,107244,0.468331862312,0.897560810582,0.494778262653,53062,59118,6056
Full96 omission1 9/10,9,10,1300,106792,0.384775955025,0.548915724282,0.562701325942,60092,109474,49382
Full96 omission1 9/10,9,10,1122,107440,0.724797032763,0.863633238723,0.818466120625,87936,101821,13885
Full96 omission1 9/10,9,10,793,107099,0.999729288215,0.999757286085,0.999971988534,107096,107122,26
Full96 omission1 9/10,9,10,1129,107344,0,0,0,0,0,0
Full96 omission1 9/9,9,9,94,106707,0,0,0,0,0,0
Full96 omission1 9/9,9,9,337,107002,0.5118707447,0.579858798455,0.813629651782,87060,150140,63080
Full96 omission1 9/9,9,9,664,107244,0.563233128733,0.833082504374,0.634879340569,68087,81729,13642
Full96 omission1 9/9,9,9,720,106520,0,0,0,0,0,0
Full96 omission1 9/9,9,9,793,107099,0.999897295127,0.999962650332,0.999934639913,107092,107096,4
Full96 omission1 9/9,9,9,1122,107440,0.689429612271,0.761746509321,0.878965003723,94436,123973,29537
Full96 omission1 9/9,9,9,1129,107344,0,0,0,0,0,0
Full96 omission1 9/9,9,9,1143,106921,0.530666052477,0.601247090009,0.818856913048,87553,145619,58066
Full96 omission1 9/9,9,9,1300,106792,0.42179749901,0.527187793325,0.678449696606,72453,137433,64980
Full96 omission1 9/9,9,9,2143,107058,0.99793573697,0.999981280595,0.997954379869,106839,106841,2
Full96 omission1 9/10.75,9,10.75,94,106707,0,0,0,0,0,0
Full96 omission1 9/10.75,9,10.75,337,107002,0.479859343603,0.628772785916,0.669548232743,71643,113941,42298
Full96 omission1 9/10.75,9,10.75,664,107244,0.374651747389,0.933330318993,0.384953936817,41284,44233,2949
Full96 omission1 9/10.75,9,10.75,720,106520,0,0,0,0,0,0
Full96 omission1 9/10.75,9,10.75,793,107099,0.999328145121,0.999374772539,0.999953314223,107094,107161,67
Full96 omission1 9/10.75,9,10.75,1122,107440,0.703007100217,0.898061226723,0.763970588235,82081,91398,9317
Full96 omission1 9/10.75,9,10.75,1129,107344,0,0,0,0,0,0
Full96 omission1 9/10.75,9,10.75,1143,106921,0.631365784145,0.761196864064,0.787310257106,84180,110589,26409
Full96 omission1 9/10.75,9,10.75,1300,106792,0.345027476669,0.56258938148,0.471514720204,50354,89504,39150
Full96 omission1 9/10.75,9,10.75,2143,107058,0.999887923788,0.999887923788,1,107058,107070,12
Full96 omission1 10/9,10,9,94,106707,0,0,0,0,0,0
Full96 omission1 10/9,10,9,337,107002,0.5214880394,0.583234428175,0.831246144932,88945,152503,63558
Full96 omission1 10/9,10,9,664,107244,0.558014493883,0.886481802426,0.600956696878,64449,72702,8253
Full96 omission1 10/9,10,9,720,106520,0,0,0,0,0,0
Full96 omission1 10/9,10,9,793,107099,0.999775937561,0.999869284707,0.999906628447,107089,107103,14
Full96 omission1 10/9,10,9,1122,107440,0.694376006648,0.767938769866,0.878769545793,94415,122946,28531
Full96 omission1 10/9,10,9,1129,107344,0,0,0,0,0,0
Full96 omission1 10/9,10,9,1143,106921,0.550884845773,0.621416455217,0.82916358807,88655,142666,54011
Full96 omission1 10/9,10,9,1300,106792,0.403098182808,0.50526816861,0.665939396209,71117,140751,69634
Full96 omission1 10/9,10,9,2143,107058,0.992742387446,0.999981182669,0.992760933326,106283,106285,2
Full96 omission0 9/10.75,9,10.75,94,106707,0,0,0,0,0,0
Full96 omission0 9/10.75,9,10.75,337,107002,0.483192775085,0.625378162816,0.680024672436,72764,116352,43588
Full96 omission0 9/10.75,9,10.75,664,107244,0.399016030354,0.937670648464,0.409887732647,43958,46880,2922
Full96 omission0 9/10.75,9,10.75,720,106520,0,0,0,0,0,0
Full96 omission0 9/10.75,9,10.75,793,107099,0.999290846319,0.999337470256,0.999953314223,107094,107165,71
Full96 omission0 9/10.75,9,10.75,1122,107440,0.702970466445,0.896910817596,0.764761727476,82166,91610,9444
Full96 omission0 9/10.75,9,10.75,1129,107344,0,0,0,0,0,0
Full96 omission0 9/10.75,9,10.75,1143,106921,0.618329917573,0.755363669591,0.773159622525,82667,109440,26773
Full96 omission0 9/10.75,9,10.75,1300,106792,0.345687821612,0.56394528889,0.471795640123,50384,89342,38958
Full96 omission0 9/10.75,9,10.75,2143,107058,0.999635721691,0.999971969166,0.999663733677,107022,107025,3
