domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
raw_native,0,5758,43,5801,0.007412515083606274,0.0013865600412743455,0.0013865600412743455
raw_native,1,8070,150,8220,0.01824817518248175,0.0048368373532826,0.006223397394556946
raw_native,2,7847,335,8182,0.040943534588120264,0.010802270088997807,0.017025667483554753
raw_native,3,6841,559,7400,0.07554054054054055,0.01802528053656649,0.03505094802012124
raw_native,4,6132,756,6888,0.10975609756097561,0.024377660260544304,0.05942860828066555
raw_native,5,5740,1019,6759,0.15076194703358484,0.032858248419966464,0.09228685670063201
raw_native,6,5530,1273,6803,0.18712332794355432,0.04104862633819167,0.13333548303882367
raw_native,7,5377,1481,6858,0.21595217264508604,0.04775570746807687,0.18109119050690053
raw_native,8,5206,1700,6906,0.24616275702287865,0.05481749000386947,0.23590868051077002
raw_native,9,4933,1840,6773,0.2716669127417688,0.059331871533599895,0.29524055204436994
raw_native,10,4771,1915,6686,0.28641938378701765,0.0617502902102412,0.35699084225461114
raw_native,11,4483,1993,6476,0.30775169857936996,0.06426544563394815,0.4212562878885593
raw_native,12,4016,1898,5914,0.32093337842407843,0.061202115310202504,0.48245840319876176
raw_native,13,3642,1852,5494,0.3370950127411722,0.059718818521862505,0.5421772217206242
raw_native,14,3258,1799,5057,0.3557445125568519,0.05800980265703599,0.6001870243776602
raw_native,15,2777,1680,4457,0.3769351581781467,0.05417257835676512,0.6543596027344254
raw_native,16,2521,1462,3983,0.3670600050213407,0.04714304140332774,0.7015026441377531
raw_native,17,2117,1362,3479,0.39149180799080197,0.04391848316780601,0.7454211273055591
raw_native,18,1767,1209,2976,0.40625,0.03898490906745776,0.7844060363730169
raw_native,19,1359,1114,2473,0.4504650222401941,0.03592157874371211,0.820327615116729
raw_native,20,1189,1010,2199,0.45929968167348795,0.03256803817876951,0.8528956532954985
raw_native,21,955,790,1745,0.45272206303724927,0.025474010060621693,0.8783696633561202
raw_native,22,711,729,1440,0.50625,0.02350702953695344,0.9018766928930737
raw_native,23,582,585,1167,0.5012853470437018,0.018863665677802142,0.9207403585708759
