domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
denoised,8.0,duplicate_removal,fp_matched_cluster,0,47,21.05082321166992,15.776671409606934,20.425058364868164,28.507492065429688,13.050823211669918,7.776671409606934,12.425058364868164,20.507492065429688,False
denoised,8.0,duplicate_removal,fp_matched_cluster,1,170,19.02301979064941,15.26609706878662,18.72281837463379,22.36049461364746,11.02301979064941,7.266097068786619,10.722818374633789,14.360494613647461,True
denoised,8.0,duplicate_removal,fp_matched_cluster,2,371,18.42322158813477,14.799899101257324,17.992921829223633,22.244171142578125,10.42322158813477,6.799899101257324,9.992921829223633,14.244171142578125,True
denoised,8.0,duplicate_removal,fp_matched_cluster,3,645,17.924606323242188,14.285149574279783,17.788400650024414,21.576086044311523,9.924606323242188,6.285149574279783,9.788400650024414,13.576086044311523,True
denoised,8.0,duplicate_removal,fp_matched_cluster,4,916,17.156869888305664,13.66482925415039,17.060020446777344,20.74217796325684,9.156869888305664,5.664829254150391,9.060020446777344,12.74217796325684,True
denoised,8.0,duplicate_removal,fp_matched_cluster,5,1132,16.612539291381836,13.284975051879885,16.621360778808594,19.90098571777344,8.612539291381836,5.284975051879885,8.621360778808594,11.900985717773441,True
denoised,8.0,duplicate_removal,fp_matched_cluster,6,1311,16.094688415527344,12.956071853637695,15.968000411987305,19.27827835083008,8.094688415527344,4.956071853637695,7.968000411987305,11.278278350830082,True
denoised,8.0,duplicate_removal,fp_matched_cluster,7,1653,15.633949279785156,12.412970542907717,15.465312957763672,19.08403205871582,7.633949279785156,4.412970542907717,7.465312957763672,11.08403205871582,True
denoised,8.0,duplicate_removal,fp_matched_cluster,8,1688,15.148810386657717,12.037946701049805,14.98488426208496,18.402530670166016,7.148810386657717,4.037946701049805,6.984884262084959,10.402530670166016,True
denoised,8.0,duplicate_removal,fp_matched_cluster,9,1842,14.548015594482422,11.59462833404541,14.412738800048828,17.723962783813477,6.548015594482422,3.59462833404541,6.412738800048828,9.723962783813477,True
denoised,8.0,duplicate_removal,fp_matched_cluster,10,1933,14.166061401367188,11.362810134887695,13.963658332824709,17.264795303344727,6.1660614013671875,3.3628101348876953,5.963658332824709,9.264795303344727,True
