domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw_native,8.0,detection_template,unmatched_cluster,0,277877,31.94430923461914,21.249608993530273,31.788969039916992,42.52865982055664
raw_native,8.0,detection_template,unmatched_cluster,1,254263,25.313934326171875,16.930788040161133,25.197799682617188,33.9570426940918
raw_native,8.0,detection_template,unmatched_cluster,2,242888,21.58937644958496,14.46862506866455,21.202651977539062,29.069236755371094
raw_native,8.0,detection_template,unmatched_cluster,3,236044,19.048215866088867,12.835278511047363,18.679208755493164,25.709531784057617
raw_native,8.0,detection_template,unmatched_cluster,4,230750,17.17512321472168,11.646669387817383,16.898460388183594,23.168853759765625
raw_native,8.0,detection_template,unmatched_cluster,5,225290,15.72747802734375,10.773898124694824,15.424613952636719,20.953472137451172
raw_native,8.0,detection_template,unmatched_cluster,6,219794,14.564803123474121,10.113401412963867,14.21567440032959,19.33479118347168
raw_native,8.0,detection_template,unmatched_cluster,7,213919,13.620067596435547,9.611611366271973,13.236062049865723,18.069419860839844
raw_native,8.0,detection_template,unmatched_cluster,8,207458,12.835911750793457,9.25773811340332,12.427303314208984,16.951480865478516
raw_native,8.0,detection_template,unmatched_cluster,9,200527,12.174261093139648,8.970843315124512,11.740753173828125,15.950406074523926
raw_native,8.0,detection_template,unmatched_cluster,10,191882,11.624337196350098,8.76480770111084,11.178104400634766,15.088348388671875
raw_native,8.0,detection_template,unmatched_cluster,11,182652,11.158703804016113,8.614471435546875,10.701953887939453,14.307412147521973
raw_native,8.0,detection_template,unmatched_cluster,12,172407,10.771234512329102,8.491933822631836,10.317853927612305,13.643451690673828
raw_native,8.0,detection_template,unmatched_cluster,13,161151,10.444631576538086,8.407419204711914,10.000147819519043,13.076594352722168
raw_native,8.0,detection_template,unmatched_cluster,14,149018,10.166548728942871,8.338899612426758,9.739408493041992,12.548381805419922
raw_native,8.0,detection_template,unmatched_cluster,15,136522,9.926155090332031,8.2794189453125,9.51405143737793,12.113472938537598
raw_native,8.0,detection_template,unmatched_cluster,16,122933,9.727227210998535,8.238997459411621,9.334630012512207,11.72425651550293
raw_native,8.0,detection_template,unmatched_cluster,17,110018,9.561898231506348,8.2059326171875,9.18984317779541,11.402226448059082
raw_native,8.0,detection_template,unmatched_cluster,18,97300,9.422368049621582,8.182149887084961,9.063624382019043,11.115252494812012
raw_native,8.0,detection_template,unmatched_cluster,19,84920,9.30013656616211,8.159425735473633,8.954764366149902,10.870115280151367
raw_native,8.0,detection_template,unmatched_cluster,20,73194,9.200030326843262,8.143569946289062,8.870766639709473,10.663900375366211
raw_native,8.0,detection_template,unmatched_cluster,21,62476,9.113731384277344,8.129539489746094,8.791044235229492,10.481756210327148
raw_native,8.0,detection_template,unmatched_cluster,22,52888,9.038278579711914,8.118463516235352,8.725053787231445,10.344940185546875
raw_native,8.0,detection_template,unmatched_cluster,23,44445,8.976269721984863,8.106733322143555,8.667683601379395,10.202467918395996
raw_native,8.0,detection_template,unmatched_cluster,24,36624,8.928845405578613,8.096478462219238,8.624493598937988,10.111796379089355
raw_native,8.0,detection_template,unmatched_cluster,25,30267,8.89084529876709,8.092288970947266,8.59319019317627,10.026069641113281
raw_native,8.0,detection_template,unmatched_cluster,26,24593,8.859295845031738,8.086451530456543,8.56169319152832,9.948310852050781
raw_native,8.0,detection_template,unmatched_cluster,27,19958,8.834208488464355,8.082657814025879,8.537473678588867,9.894628524780273
raw_native,8.0,detection_template,unmatched_cluster,28,16127,8.812073707580566,8.077564239501953,8.513640403747559,9.84181022644043
raw_native,8.0,detection_template,unmatched_cluster,29,13008,8.802577018737793,8.077587127685547,8.493860244750977,9.796348571777344
raw_native,8.0,detection_template,unmatched_cluster,30,10364,8.805404663085938,8.073195457458496,8.497862815856934,9.81298542022705
raw_native,8.0,detection_template,unmatched_cluster,31,8475,8.798904418945312,8.070859909057617,8.479010581970215,9.81638240814209
raw_native,8.0,detection_template,unmatched_cluster,32,6801,8.81209659576416,8.068023681640625,8.487102508544922,9.857617378234863
raw_native,8.0,detection_template,unmatched_cluster,33,5460,8.822465896606445,8.07370662689209,8.483099937438965,9.85484790802002
raw_native,8.0,detection_template,unmatched_cluster,34,4552,8.832803726196289,8.076669692993164,8.483853340148926,9.90118408203125
raw_native,8.0,detection_template,unmatched_cluster,35,3679,8.833139419555664,8.071211814880371,8.471199035644531,9.883389472961426
raw_native,8.0,detection_template,unmatched_cluster,36,3021,8.864680290222168,8.07528018951416,8.476313591003418,9.881720542907715
raw_native,8.0,detection_template,unmatched_cluster,37,2454,8.89971923828125,8.073295593261719,8.500056266784668,10.069540023803711
raw_native,8.0,detection_template,unmatched_cluster,38,2079,8.921012878417969,8.0786714553833,8.514925003051758,10.087658882141113
raw_native,8.0,detection_template,unmatched_cluster,39,1736,8.924285888671875,8.066142082214355,8.506796836853027,10.086304664611816
raw_native,8.0,detection_template,unmatched_cluster,40,1491,8.964258193969727,8.067499160766602,8.532180786132812,10.215187072753906
