domain,Th_learned,from_stage,to_stage,from_status,to_status,events
raw_native,8.0,detection_template,final_clustering,unmatched_cluster,unmatched_cluster,4150720
raw_native,8.0,detection_template,final_clustering,unmatched_cluster,fp_matched_cluster,1750
raw_native,8.0,detection_template,final_clustering,unmatched_cluster,tp,406
raw_native,8.0,detection_template,final_clustering,fp_matched_cluster,unmatched_cluster,521
raw_native,8.0,detection_template,final_clustering,fp_matched_cluster,fp_matched_cluster,29272
raw_native,8.0,detection_template,final_clustering,fp_matched_cluster,tp,3
raw_native,8.0,detection_template,final_clustering,tp,unmatched_cluster,11
raw_native,8.0,detection_template,final_clustering,tp,fp_matched_cluster,6
raw_native,8.0,detection_template,final_clustering,tp,tp,97268
raw_native,8.0,final_clustering,cluster_merging,unmatched_cluster,unmatched_cluster,4151252
raw_native,8.0,final_clustering,cluster_merging,fp_matched_cluster,fp_matched_cluster,31028
raw_native,8.0,final_clustering,cluster_merging,tp,tp,97677
raw_native,8.0,cluster_merging,duplicate_removal,unmatched_cluster,unmatched_cluster,4144853
raw_native,8.0,cluster_merging,duplicate_removal,unmatched_cluster,removed_by_dedup,6399
raw_native,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,fp_matched_cluster,31011
raw_native,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,tp,13
raw_native,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,removed_by_dedup,4
raw_native,8.0,cluster_merging,duplicate_removal,tp,fp_matched_cluster,1
raw_native,8.0,cluster_merging,duplicate_removal,tp,tp,97664
raw_native,8.0,cluster_merging,duplicate_removal,tp,removed_by_dedup,12
