domain,Th_learned,peel,accepted_events
raw_native,8.0,0,283680
raw_native,8.0,1,262474
raw_native,8.0,2,251067
raw_native,8.0,3,243417
raw_native,8.0,4,237608
raw_native,8.0,5,231999
raw_native,8.0,6,226540
raw_native,8.0,7,220724
raw_native,8.0,8,214306
raw_native,8.0,9,207210
raw_native,8.0,10,198458
raw_native,8.0,11,189026
raw_native,8.0,12,178216
raw_native,8.0,13,166534
raw_native,8.0,14,153982
raw_native,8.0,15,140857
raw_native,8.0,16,126830
raw_native,8.0,17,113431
raw_native,8.0,18,100205
raw_native,8.0,19,87319
raw_native,8.0,20,75357
raw_native,8.0,21,64174
raw_native,8.0,22,54296
raw_native,8.0,23,45578
raw_native,8.0,24,37554
raw_native,8.0,25,30957
raw_native,8.0,26,25216
raw_native,8.0,27,20411
raw_native,8.0,28,16477
raw_native,8.0,29,13307
raw_native,8.0,30,10563
raw_native,8.0,31,8643
raw_native,8.0,32,6939
raw_native,8.0,33,5575
raw_native,8.0,34,4624
raw_native,8.0,35,3756
raw_native,8.0,36,3066
raw_native,8.0,37,2500
raw_native,8.0,38,2109
raw_native,8.0,39,1767
raw_native,8.0,40,1508
raw_native,8.0,41,1277
raw_native,8.0,42,1046
raw_native,8.0,43,914
raw_native,8.0,44,777
raw_native,8.0,45,709
raw_native,8.0,46,608
raw_native,8.0,47,538
raw_native,8.0,48,481
raw_native,8.0,49,439
raw_native,8.0,50,381
raw_native,8.0,51,331
raw_native,8.0,52,301
raw_native,8.0,53,283
raw_native,8.0,54,258
raw_native,8.0,55,226
raw_native,8.0,56,211
raw_native,8.0,57,191
raw_native,8.0,58,177
raw_native,8.0,59,160
raw_native,8.0,60,144
raw_native,8.0,61,142
raw_native,8.0,62,134
raw_native,8.0,63,130
raw_native,8.0,64,117
raw_native,8.0,65,119
raw_native,8.0,66,119
raw_native,8.0,67,102
raw_native,8.0,68,95
raw_native,8.0,69,91
raw_native,8.0,70,80
raw_native,8.0,71,76
raw_native,8.0,72,74
raw_native,8.0,73,69
raw_native,8.0,74,61
raw_native,8.0,75,64
raw_native,8.0,76,57
raw_native,8.0,77,52
raw_native,8.0,78,48
raw_native,8.0,79,46
raw_native,8.0,80,50
raw_native,8.0,81,47
raw_native,8.0,82,42
raw_native,8.0,83,42
raw_native,8.0,84,38
raw_native,8.0,85,33
raw_native,8.0,86,30
raw_native,8.0,87,29
raw_native,8.0,88,27
raw_native,8.0,89,24
raw_native,8.0,90,24
raw_native,8.0,91,24
raw_native,8.0,92,23
raw_native,8.0,93,22
raw_native,8.0,94,21
raw_native,8.0,95,21
raw_native,8.0,96,19
raw_native,8.0,97,18
raw_native,8.0,98,17
raw_native,8.0,99,18
raw_native,9.0,0,283656
raw_native,9.0,1,262322
raw_native,9.0,2,250594
raw_native,9.0,3,242110
raw_native,9.0,4,234852
raw_native,9.0,5,227216
raw_native,9.0,6,218624
raw_native,9.0,7,208943
raw_native,9.0,8,198060
raw_native,9.0,9,185572
raw_native,9.0,10,171386
raw_native,9.0,11,156386
raw_native,9.0,12,140131
raw_native,9.0,13,123804
raw_native,9.0,14,107650
raw_native,9.0,15,91668
raw_native,9.0,16,76807
raw_native,9.0,17,63830
raw_native,9.0,18,52119
raw_native,9.0,19,41894
raw_native,9.0,20,33327
raw_native,9.0,21,25985
raw_native,9.0,22,20229
raw_native,9.0,23,15629
raw_native,9.0,24,12004
raw_native,9.0,25,9318
raw_native,9.0,26,7187
raw_native,9.0,27,5604
raw_native,9.0,28,4291
raw_native,9.0,29,3382
raw_native,9.0,30,2654
raw_native,9.0,31,2153
raw_native,9.0,32,1738
raw_native,9.0,33,1359
raw_native,9.0,34,1120
raw_native,9.0,35,924
raw_native,9.0,36,758
raw_native,9.0,37,653
raw_native,9.0,38,581
raw_native,9.0,39,477
raw_native,9.0,40,415
raw_native,9.0,41,351
raw_native,9.0,42,307
raw_native,9.0,43,259
raw_native,9.0,44,218
raw_native,9.0,45,202
raw_native,9.0,46,197
raw_native,9.0,47,179
raw_native,9.0,48,169
raw_native,9.0,49,157
raw_native,9.0,50,146
raw_native,9.0,51,127
raw_native,9.0,52,112
raw_native,9.0,53,103
raw_native,9.0,54,91
raw_native,9.0,55,81
raw_native,9.0,56,81
raw_native,9.0,57,77
raw_native,9.0,58,67
raw_native,9.0,59,63
raw_native,9.0,60,60
raw_native,9.0,61,57
raw_native,9.0,62,56
raw_native,9.0,63,58
raw_native,9.0,64,49
raw_native,9.0,65,47
raw_native,9.0,66,46
raw_native,9.0,67,39
raw_native,9.0,68,36
raw_native,9.0,69,32
raw_native,9.0,70,27
raw_native,9.0,71,25
raw_native,9.0,72,25
raw_native,9.0,73,24
raw_native,9.0,74,22
raw_native,9.0,75,23
raw_native,9.0,76,22
raw_native,9.0,77,21
raw_native,9.0,78,21
raw_native,9.0,79,18
raw_native,9.0,80,20
raw_native,9.0,81,18
raw_native,9.0,82,17
raw_native,9.0,83,16
raw_native,9.0,84,16
raw_native,9.0,85,17
raw_native,9.0,86,15
raw_native,9.0,87,17
raw_native,9.0,88,15
raw_native,9.0,89,14
raw_native,9.0,90,14
raw_native,9.0,91,14
raw_native,9.0,92,15
raw_native,9.0,93,15
raw_native,9.0,94,15
raw_native,9.0,95,16
raw_native,9.0,96,15
raw_native,9.0,97,14
raw_native,9.0,98,15
raw_native,9.0,99,16
raw_native,10.0,0,283557
raw_native,10.0,1,261867
raw_native,10.0,2,249258
raw_native,10.0,3,239128
raw_native,10.0,4,229481
raw_native,10.0,5,218288
raw_native,10.0,6,205343
raw_native,10.0,7,190661
raw_native,10.0,8,174232
raw_native,10.0,9,156518
raw_native,10.0,10,137667
raw_native,10.0,11,118671
raw_native,10.0,12,100276
raw_native,10.0,13,82882
raw_native,10.0,14,67320
raw_native,10.0,15,53281
raw_native,10.0,16,41497
raw_native,10.0,17,31831
raw_native,10.0,18,24127
raw_native,10.0,19,18141
raw_native,10.0,20,13476
raw_native,10.0,21,9841
raw_native,10.0,22,7286
raw_native,10.0,23,5433
raw_native,10.0,24,4068
raw_native,10.0,25,3064
raw_native,10.0,26,2297
raw_native,10.0,27,1767
raw_native,10.0,28,1352
raw_native,10.0,29,1025
raw_native,10.0,30,813
raw_native,10.0,31,682
raw_native,10.0,32,564
raw_native,10.0,33,465
raw_native,10.0,34,401
raw_native,10.0,35,323
raw_native,10.0,36,279
raw_native,10.0,37,243
raw_native,10.0,38,207
raw_native,10.0,39,174
raw_native,10.0,40,163
raw_native,10.0,41,140
