domain,Th_learned,from_stage,to_stage,from_status,to_status,events
raw_native_fdr,8.0,detection_template,final_clustering,unmatched_cluster,unmatched_cluster,1212428
raw_native_fdr,8.0,detection_template,final_clustering,unmatched_cluster,fp_matched_cluster,18
raw_native_fdr,8.0,detection_template,final_clustering,fp_matched_cluster,fp_matched_cluster,3
raw_native_fdr,8.0,detection_template,final_clustering,tp,tp,30920
raw_native_fdr,8.0,final_clustering,cluster_merging,unmatched_cluster,unmatched_cluster,1212428
raw_native_fdr,8.0,final_clustering,cluster_merging,fp_matched_cluster,fp_matched_cluster,21
raw_native_fdr,8.0,final_clustering,cluster_merging,tp,tp,30920
raw_native_fdr,8.0,cluster_merging,duplicate_removal,unmatched_cluster,unmatched_cluster,1212289
raw_native_fdr,8.0,cluster_merging,duplicate_removal,unmatched_cluster,removed_by_dedup,139
raw_native_fdr,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,fp_matched_cluster,18
raw_native_fdr,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,tp,3
raw_native_fdr,8.0,cluster_merging,duplicate_removal,tp,tp,30917
raw_native_fdr,8.0,cluster_merging,duplicate_removal,tp,removed_by_dedup,3
denoised_native_fdr,8.0,detection_template,final_clustering,unmatched_cluster,unmatched_cluster,1027721
denoised_native_fdr,8.0,detection_template,final_clustering,unmatched_cluster,fp_matched_cluster,4
denoised_native_fdr,8.0,detection_template,final_clustering,fp_matched_cluster,fp_matched_cluster,3
denoised_native_fdr,8.0,detection_template,final_clustering,tp,tp,35082
denoised_native_fdr,8.0,final_clustering,cluster_merging,unmatched_cluster,unmatched_cluster,1027721
denoised_native_fdr,8.0,final_clustering,cluster_merging,fp_matched_cluster,fp_matched_cluster,7
denoised_native_fdr,8.0,final_clustering,cluster_merging,tp,tp,35082
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,unmatched_cluster,unmatched_cluster,1027524
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,unmatched_cluster,removed_by_dedup,197
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,fp_matched_cluster,4
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,fp_matched_cluster,tp,3
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,tp,tp,35079
denoised_native_fdr,8.0,cluster_merging,duplicate_removal,tp,removed_by_dedup,3
