unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,25.490251541137695,9.056289672851562,12.53050980636828,13.53593511354156,13.533525904011498,1.0,1.0,1.0,1.0054253071732813,1.0030160976432185,0.0
94,100,29,12,3.4893321990966797,3.5350189208984375,0.04568672180175781,2.1674297179864177,1.9448661921766635,1.9868482444772244,0.9552500247955322,0.9367499947547913,0.9401500225067139,-0.22256352580975425,-0.1805814735091933,-0.018500030040740967
337,100,274,4,4.1204514503479,4.417466640472412,0.2970151901245117,3.1508394835087925,2.901637848745132,2.933007538566758,0.986299991607666,0.9793499708175659,0.9813500046730042,-0.24920163476366053,-0.21783194494203428,-0.006950020790100098
1143,100,134,7,6.047300815582275,7.128006935119629,1.0807061195373535,5.323439750626826,5.054463282462705,5.059069853146095,0.9993500113487244,0.9968000054359436,0.9970499873161316,-0.26897646816412113,-0.2643698974807309,-0.0025500059127807617
720,100,172,6,3.3256125450134277,3.1915526390075684,-0.13405990600585938,2.1755699332273646,1.8625156318385958,1.9357189537199178,0.9448500275611877,0.914900004863739,0.9218500256538391,-0.3130543013887688,-0.23985097950744683,-0.02995002269744873
664,100,221,3,3.72355318069458,5.012878894805908,1.2893257141113281,1.0400025856645227,0.8954221700631927,0.9294569517154541,0.7771499752998352,0.7437999844551086,0.7519500255584717,-0.14458041560133006,-0.11054563394906869,-0.03334999084472656
1300,100,134,5,4.578506946563721,5.422918796539307,0.8444118499755859,4.074252488212588,3.6672894579401993,3.706772879205568,0.9939500093460083,0.9886500239372253,0.9901999831199646,-0.4069630302723888,-0.36747960900702026,-0.005299985408782959
1122,100,158,2,5.306804656982422,6.729369640350342,1.42256498336792,3.796643915047218,3.4648839500272404,3.414686901838351,0.9973499774932861,0.9921000003814697,0.9920499920845032,-0.3317599650199776,-0.38195701320886677,-0.005249977111816406
793,100,102,5,7.0905632972717285,12.052986145019531,4.962422847747803,8.566411202380156,8.966655185324342,8.994988158182176,1.0,1.0,1.0,0.40024398294418617,0.42857695580202027,0.0
1129,100,122,7,3.9321558475494385,4.560441493988037,0.6282856464385986,2.144590069262506,1.8473969112046729,1.9140124804023406,0.9578499794006348,0.9294000267982483,0.9358000159263611,-0.2971931580578331,-0.23057758886016533,-0.028449952602386475
