label,tier,config,seed,loss,train_chunks,override,co_id,state,ckpt_downloaded,scored,notes
ib_champion_s0,1,champion,0,charbonnier,4,,,pending,,,reference
ib_champion_s1,1,champion,1,charbonnier,4,,,pending,,,
ib_champion_s2,1,champion,2,charbonnier,4,,,pending,,,
ib_champion_s3,1,champion,3,charbonnier,4,,,pending,,,
ib_champion_s4,1,champion,4,charbonnier,4,,,pending,,,
ib_omission0_s0,1,omission0,0,charbonnier,4,omission=0,,pending,,,
ib_omission0_s1,1,omission0,1,charbonnier,4,omission=0,,pending,,,
ib_omission0_s2,1,omission0,2,charbonnier,4,omission=0,,pending,,,
ib_omission0_s3,1,omission0,3,charbonnier,4,omission=0,,pending,,,
ib_omission0_s4,1,omission0,4,charbonnier,4,omission=0,,pending,,,
ib_champ_l2_s0,1,champ_l2,0,l2,4,loss=l2,,pending,,,
ib_champ_l2_s1,1,champ_l2,1,l2,4,loss=l2,,pending,,,
ib_champ_l2_s2,1,champ_l2,2,l2,4,loss=l2,,pending,,,
ib_omission0_l2_s0,1,omission0_l2,0,l2,4,omission=0 loss=l2,,pending,,,
ib_omission0_l2_s1,1,omission0_l2,1,l2,4,omission=0 loss=l2,,pending,,,
ib_omission0_l2_s2,1,omission0_l2,2,l2,4,omission=0 loss=l2,,pending,,,
ib_base64_s0,1,base64,0,charbonnier,4,base_channels=64,,pending,,,
ib_base64_s1,1,base64,1,charbonnier,4,base_channels=64,,pending,,,
ib_base64_s2,1,base64,2,charbonnier,4,base_channels=64,,pending,,,
ib_support_sd_s0,2,support_sd,0,charbonnier,4,bs_stage=1 bs_dense=1,,pending,,,
ib_support_all_s0,2,support_all,0,charbonnier,4,bs_stage=1 bs_dense=1 bs_multiscale=1,,pending,,,
ib_support_all_l2_s0,2,support_all_l2,0,l2,4,bs_stage=1 bs_dense=1 bs_multiscale=1 loss=l2,,pending,,,
ib_fuse256_s0,2,fuse256,0,charbonnier,4,fuse_channels=256,,pending,,,
ib_fuse256_l2_s0,2,fuse256_l2,0,l2,4,fuse_channels=256 loss=l2,,pending,,,
ib_fuse512_s0,2,fuse512,0,charbonnier,4,fuse_channels=512,,pending,,,
ib_tmult8_s0,2,tmult8,0,charbonnier,4,temporal_mult=8,,pending,,,
ib_base64_l2_s0,2,base64_l2,0,l2,4,base_channels=64 loss=l2,,pending,,,
ib_no_norm_s0,2,no_norm,0,charbonnier,4,norm=none,,pending,,,
ib_ho_s0,2,ho,0,charbonnier,4,bs_frames=1,,pending,,,
ib_arch_s0,2,arch,0,charbonnier,4,base_channels=64 depth=4 bs_channels=128 bs_depth=7,,pending,,,
ib_arch_l2_s0,2,arch_l2,0,l2,4,base_channels=64 depth=4 bs_channels=128 bs_depth=7 loss=l2,,pending,,,
ib_weighted_s0,3,weighted,0,charbonnier,4,spike_weight=3,,pending,,,
ib_l10g1_s0,3,l10g1,0,charbonnier,4,spike_weight=10 spike_weight_gamma=1,,pending,,,
ib_l10g2_s0,3,l10g2,0,charbonnier,4,spike_weight=10 spike_weight_gamma=2,,pending,,,
ib_archL10_s0,3,archL10,0,charbonnier,4,base_channels=64 depth=4 bs_channels=128 bs_depth=7 spike_weight=10,,pending,,,
ib_hard1000_s0,3,hard1000,0,charbonnier,4,spike_weight=1000 spike_weight_hard=1 spike_weight_thresh=TBD,,pending,,,thresh from original run
ib_uL100_s0,3,uL100,0,charbonnier,4,spike_weight=100 spike_weight_car=1 spike_weight_thresh=TBD,,pending,,,thresh from original run
ib_om0_scale,scale,support_all_l2_om0,0,l2,47,bs_stage=1 bs_dense=1 bs_multiscale=1 loss=l2 omission=0 bs_frames=1,ccf82c60-43c4-4829-9984-8d41e4639fc2,completed,yes,yes,RUN3 in-band trajectory scored (13 ckpts)
ib_om1_scale,scale,support_all_l2_om1,0,l2,47,bs_stage=1 bs_dense=1 bs_multiscale=1 loss=l2 omission=1 bs_frames=3,5eec6d19-f063-4f9d-a17a-b11da5a65869,running,,,RUN4
