unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9988681077957153,0.9998223185539246,0.998704064703916,0.9876303727694201,1.0115458965301514,1.0,0,0.9977826491914602,0.9848729372024536,0.9851096868515015
94,200,29,9,23.959999084472656,0.9918181896209717,0.9988303780555725,0.9843162350370973,0.9689612031114845,0.8176453709602356,1.0,0,1.0148306507162008,0.9619246125221252,0.9662166237831116
337,200,274,4,34.19499969482422,0.9857326745986938,0.9973905086517334,0.9773059378827125,0.993382297930171,0.9113333821296692,0.8888888888888888,0,1.0173934822916226,0.9158539175987244,0.9213355183601379
1143,200,134,7,35.27000045776367,0.9980871081352234,0.9998980164527893,0.9961821495725647,0.9970027112821205,0.9220097064971924,1.0,0,1.0012346040244264,0.9471122026443481,0.9550071358680725
720,200,172,6,25.85999870300293,0.9925106167793274,0.9987691044807434,0.9734438545570677,0.9671779645393794,0.7982736825942993,1.0,0,1.0152938460280452,0.9538417458534241,0.9677802324295044
664,200,221,1,19.31999969482422,0.9229111671447754,1.0,0.9305968933205926,,0.8171823024749756,1.0,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.991511881351471,0.9991458654403687,0.9895689930277878,0.9852422824939341,0.8710362315177917,1.1428571428571428,0,0.996719771130883,0.9359017610549927,0.9510975480079651
1122,200,158,2,31.939998626708984,0.9858275055885315,0.9999920129776001,0.9820907696913062,1.0,0.8794118762016296,1.0,0,0.996217867002618,0.9716477394104004,0.9818270206451416
793,200,102,5,31.90999984741211,0.9983132481575012,0.9975731372833252,0.9964018924990906,0.9786378846148219,1.0219874382019043,1.0,0,0.9830151340931033,0.9551831483840942,0.958226203918457
1129,200,122,6,22.7450008392334,0.9749115109443665,0.9982673525810242,0.9452798065226905,0.9123511988891896,0.7224560379981995,1.0,0,0.9702620307266328,0.9091116786003113,0.9320330619812012
