unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9983299374580383,0.9999708533287048,0.9979761143562837,0.9967797894051462,0.9959359765052795,1.0,0,0.9993844509447712,0.9848729372024536,0.9852632284164429
94,200,29,9,23.959999084472656,0.9953794479370117,0.9986570477485657,0.981836536172621,0.9570162395519974,0.8086557388305664,1.0,0,1.0240809697478586,0.9619246125221252,0.9734818339347839
337,200,274,4,34.19499969482422,0.9849311113357544,0.9973840117454529,0.9776098873941309,0.993354519453868,0.9165686368942261,0.8888888888888888,0,1.0144113469903908,0.9158539175987244,0.9369590878486633
1143,200,134,7,35.27000045776367,0.9954760670661926,0.9997093677520752,0.9938269380241788,0.9957043272099358,0.906745970249176,1.0,0,1.00367958633612,0.9471122026443481,0.9536092281341553
720,200,172,6,25.85999870300293,0.9927321076393127,0.9979172348976135,0.9712453916591487,0.9779245047277517,0.7698357701301575,1.0,0,1.023465767331607,0.9538417458534241,0.9672779440879822
664,200,221,1,19.31999969482422,0.888100266456604,1.0,0.8924156934774101,,0.762808084487915,1.0,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9891994595527649,0.999039351940155,0.9869087481589814,0.9859578402047812,0.8650498390197754,1.1428571428571428,0,0.9912712987902762,0.9359017610549927,0.9527215957641602
1122,200,158,2,31.939998626708984,0.977185070514679,0.999896228313446,0.9683402696542098,0.9999999999999999,0.845268964767456,1.0,0,1.0019912825503445,0.9716477394104004,0.9804179668426514
793,200,102,5,31.90999984741211,0.9970721006393433,0.998406171798706,0.9946039218808269,0.9872620484891788,0.9809712767601013,1.0,0,0.9882932449579459,0.9551831483840942,0.9616564512252808
1129,200,122,6,22.7450008392334,0.9826464056968689,0.9957306385040283,0.947299555242636,0.8112558294916409,0.6793703436851501,1.0,0,0.9689532245795619,0.9091116786003113,0.9339630007743835
