unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9994096755981445,0.9999959468841553,0.9990381043152775,0.9998192152226458,0.9837894439697266,1.0,0,1.0005405792738726,0.9848729372024536,0.9847714304924011
94,200,29,9,23.959999084472656,0.9987756609916687,0.9999107718467712,0.995568929805602,0.9971685667157374,0.9697747230529785,1.0,0,1.003543412175589,0.9619246125221252,0.9699949622154236
337,200,274,4,34.19499969482422,0.9980602860450745,0.9993137121200562,0.9963686474346147,0.9993325956597086,0.9406217932701111,0.8888888888888888,0,1.0078903449424963,0.9158539175987244,0.9367942810058594
1143,200,134,7,35.27000045776367,0.9985479712486267,0.9998759031295776,0.9984795121817432,0.9974589605747184,0.9543749690055847,1.0,0,1.0004859017620844,0.9471122026443481,0.9524069428443909
720,200,172,6,25.85999870300293,0.9975483417510986,0.9997419714927673,0.9952755032049312,0.9935197133499838,0.8968482613563538,1.0,0,1.0077441920369994,0.9538417458534241,0.9660494327545166
664,200,221,1,19.31999969482422,0.9831535220146179,1.0,0.9845438861241578,,0.8827790021896362,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9981030821800232,0.9998271465301514,0.9975512734313124,0.9995317451781213,0.948275625705719,1.0,0,0.9956752080880384,0.9359017610549927,0.9446792006492615
1122,200,158,2,31.939998626708984,0.9952904582023621,0.9999843835830688,0.993900310704433,1.0,0.9201917052268982,1.0,0,1.001056246415336,0.9716477394104004,0.9819879531860352
793,200,102,5,31.90999984741211,0.9986275434494019,0.9998129606246948,0.9969931320733021,0.9995183220036546,0.9510270953178406,1.0,0,1.0011022619198935,0.9551831483840942,0.9648846387863159
1129,200,122,6,22.7450008392334,0.9957370162010193,0.9990803003311157,0.986917267791284,0.9515183761427392,0.83219975233078,1.0,0,0.9903308294756628,0.9091116786003113,0.9293326139450073
