unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9996203184127808,0.9999876022338867,0.9993493445280335,0.9995669187253751,1.0045421123504639,1.0,0,1.0009219005752221,0.9848729372024536,0.9851874709129333
94,200,29,9,23.959999084472656,0.9986549615859985,0.999886691570282,0.995564612057634,0.9978701028365267,0.9621502757072449,1.0,0,1.0038956156878485,0.9619246125221252,0.9689037799835205
337,200,274,4,34.19499969482422,0.9981181025505066,0.9994276762008667,0.9964402083101783,0.998664594088734,0.9550449252128601,0.8888888888888888,0,1.0075740797165686,0.9158539175987244,0.9354052543640137
1143,200,134,7,35.27000045776367,0.9986107349395752,0.9998935461044312,0.9983701634581768,0.9966426076076409,0.9597510099411011,1.0,0,1.0006361456850583,0.9471122026443481,0.9535001516342163
720,200,172,6,25.85999870300293,0.9973511099815369,0.9997898936271667,0.9953315835793025,0.9924410878632113,0.8987493515014648,1.0,0,1.0090392507044474,0.9538417458534241,0.9635262489318848
664,200,221,1,19.31999969482422,0.9833677411079407,1.0,0.9852187283225291,,0.9041807055473328,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9979256987571716,0.9999150633811951,0.997304308835273,0.9995387102161851,0.9511030316352844,1.0,0,0.9966080679731067,0.9359017610549927,0.9450753927230835
1122,200,158,2,31.939998626708984,0.9965443015098572,0.9999938011169434,0.9954277505116068,0.9999999999999998,0.9293080568313599,1.0,0,1.000517293784183,0.9716477394104004,0.982833206653595
793,200,102,5,31.90999984741211,0.9990890622138977,0.9997265338897705,0.9978391246940372,0.9982591617615141,0.9826114177703857,1.0,0,1.0007599437807237,0.9551831483840942,0.961460292339325
1129,200,122,6,22.7450008392334,0.9957495331764221,0.9991477727890015,0.9874886030294836,0.9547967220941916,0.8423468470573425,1.0,0,0.9903969803631829,0.9091116786003113,0.9304261803627014
