unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,5.565201759338379,-10.868760108947754,12.53050980636828,3.090776676982312,3.1144940355515147,1.0,0.9793000221252441,0.9835000038146973,-9.439733129385967,-9.416015770816765,-0.02069997787475586
94,100,29,12,3.4893321990966797,1.5340644121170044,-1.9552677869796753,2.1674297179864177,0.5259279794526939,1.034455169197202,0.9552500247955322,0.6416500210762024,0.7672500014305115,-1.6415017385337238,-1.1329745487892158,-0.31360000371932983
337,100,274,4,4.1204514503479,1.6254172325134277,-2.4950342178344727,3.1508394835087925,0.9418400531929496,1.3725388541239116,0.986299991607666,0.7727000117301941,0.8424999713897705,-2.208999430315843,-1.7783006293848809,-0.21359997987747192
1143,100,134,7,6.047300815582275,3.957698106765747,-2.0896027088165283,5.323439750626826,2.440605324946573,2.6950367051851627,0.9993500113487244,0.9563000202178955,0.9717000126838684,-2.882834425680253,-2.6284030454416634,-0.04304999113082886
720,100,172,6,3.3256125450134277,1.2454034090042114,-2.0802091360092163,2.1755699332273646,0.41866155924503157,0.9035517684550471,0.9448500275611877,0.6315000057220459,0.748449981212616,-1.756908373982333,-1.2720181647723174,-0.31335002183914185
664,100,221,3,3.72355318069458,1.6176286935806274,-2.1059244871139526,1.0400025856645227,0.1179385828062963,0.3671954127906875,0.7771499752998352,0.5333499908447266,0.6079000234603882,-0.9220640028582264,-0.6728071728738352,-0.24379998445510864
1300,100,134,5,4.578506946563721,3.0745322704315186,-1.5039746761322021,4.074252488212588,1.7667481506939129,1.9563614456537488,0.9939500093460083,0.8971499800682068,0.9361500144004822,-2.307504337518675,-2.1178910425588393,-0.09680002927780151
1122,100,158,2,5.306804656982422,1.925870418548584,-3.380934238433838,3.796643915047218,0.7599764909574823,1.1579541852032094,0.9973499774932861,0.7194499969482422,0.7959499955177307,-3.036667424089736,-2.6386897298440086,-0.27789998054504395
793,100,102,5,7.0905632972717285,5.534019947052002,-1.5565433502197266,8.566411202380156,3.374515222214149,3.7046683181422755,1.0,0.9896000027656555,0.9957500100135803,-5.191895980166007,-4.861742884237881,-0.010399997234344482
1129,100,122,7,3.9321558475494385,1.9446697235107422,-1.9874861240386963,2.144590069262506,0.3423511175639324,1.0299091947563064,0.9578499794006348,0.5824499726295471,0.761650025844574,-1.8022389516985735,-1.1146808745061996,-0.37540000677108765
