unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9948023557662964,0.999905526638031,0.9943051879124765,0.9984680305545138,0.8486035466194153,1.2,0,0.9951526410118436,0.9848729372024536,0.9867785573005676
94,200,29,9,23.959999084472656,0.9975917339324951,0.9997432827949524,0.9940325391645088,0.9922494680429224,0.9493188261985779,1.0,0,1.008892465507234,0.9619246125221252,0.9707714319229126
337,200,274,4,34.19499969482422,0.991428792476654,0.9984039664268494,0.985569889715987,0.9966170852773676,0.8888828158378601,0.8888888888888888,0,1.0104227357419289,0.9158539175987244,0.9340572357177734
1143,200,134,7,35.27000045776367,0.9966541528701782,0.99990314245224,0.9924121379901472,0.9985855816526018,0.9178737998008728,1.0,0,1.0003277582723547,0.9471122026443481,0.9576115012168884
720,200,172,6,25.85999870300293,0.9918422698974609,0.9977372884750366,0.9853033755577557,0.9963953678023572,0.8239309787750244,1.0,0,1.0182550818165532,0.9538417458534241,0.9610556960105896
664,200,221,1,19.31999969482422,0.9762877225875854,1.0,0.977967456518154,,0.8662804365158081,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9947376847267151,0.9999147057533264,0.9921317601008065,0.9979886723717873,0.890645444393158,1.0,0,0.9984711417929648,0.9359017610549927,0.9496869444847107
1122,200,158,2,31.939998626708984,0.9927622675895691,0.9998080134391785,0.9891111483432409,0.9999999999999999,0.8985261917114258,1.0,0,1.0066658513986204,0.9716477394104004,0.9821712970733643
793,200,102,5,31.90999984741211,0.9929834604263306,0.9998652935028076,0.9907208804071737,0.995868890114254,0.9026703834533691,1.0,0,1.0030814062526836,0.9551831483840942,0.962421715259552
1129,200,122,6,22.7450008392334,0.9964588284492493,0.9996916651725769,0.9898609849979001,0.9885623253360317,0.8221850395202637,1.0,0,0.9990422493371879,0.9091116786003113,0.9283402562141418
