unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9996252059936523,0.9999867677688599,0.999358134898848,0.999032552053423,0.9894359707832336,1.0,0,1.00057268576658,0.9848729372024536,0.9846099615097046
94,200,29,9,23.959999084472656,0.9987022876739502,0.999917209148407,0.9955215967510526,0.9964785032289819,0.972644031047821,1.0,0,1.0018909847527153,0.9619246125221252,0.969068706035614
337,200,274,4,34.19499969482422,0.9982959032058716,0.9995124936103821,0.9967416580855853,0.9987936480672711,0.958650529384613,0.8888888888888888,0,1.0068480012400134,0.9158539175987244,0.9338703155517578
1143,200,134,7,35.27000045776367,0.9989272952079773,0.9999646544456482,0.9982987192080462,0.9978246161670375,0.9642773866653442,1.0,0,0.9987429880729759,0.9471122026443481,0.9546798467636108
720,200,172,6,25.85999870300293,0.9977125525474548,0.9998067021369934,0.9956429385222753,0.9901574622372342,0.9017911553382874,1.0,0,1.004228436556121,0.9538417458534241,0.9630293250083923
664,200,221,1,19.31999969482422,0.9835109710693359,1.0,0.9857004454288475,,0.9186791181564331,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9980508089065552,0.99989914894104,0.9972736105898917,0.9995249410980237,0.943159818649292,1.0,0,0.9972438692212741,0.9359017610549927,0.9447645545005798
1122,200,158,2,31.939998626708984,0.9967336058616638,0.9999997615814209,0.9957887325381293,1.0,0.9436331391334534,1.0,0,0.9992738079729095,0.9716477394104004,0.9835126996040344
793,200,102,5,31.90999984741211,0.9990532994270325,0.9998303055763245,0.997675649589748,0.9992549332410723,0.9691593050956726,1.0,0,0.9992249809388897,0.9551831483840942,0.9623668193817139
1129,200,122,6,22.7450008392334,0.9961339831352234,0.9992370009422302,0.9875835996739583,0.9557865705511767,0.8386861681938171,1.0,0,0.9904782865087068,0.9091116786003113,0.930126965045929
