unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9996162056922913,0.9999942779541016,0.9993811957013344,0.9990379702162079,0.9892880916595459,1.0,0,1.0004390829700156,0.9848729372024536,0.9846104979515076
94,200,29,9,23.959999084472656,0.9987393617630005,0.9999048113822937,0.9956058613183214,0.9970336847841269,0.9705058932304382,1.0,0,1.0026681483665223,0.9619246125221252,0.9692261219024658
337,200,274,4,34.19499969482422,0.998324990272522,0.9994950294494629,0.9967565927199761,0.9989497425422273,0.9584746360778809,0.8888888888888888,0,1.0068190387502174,0.9158539175987244,0.9347025156021118
1143,200,134,7,35.27000045776367,0.9987685084342957,0.99996018409729,0.9983708482243049,0.9977096029662258,0.9593072533607483,1.0,0,1.000169137955118,0.9471122026443481,0.9529387950897217
720,200,172,6,25.85999870300293,0.9977375864982605,0.9997751712799072,0.9955396670699016,0.9918502622551741,0.9011647701263428,1.0,0,1.0055165803951989,0.9538417458534241,0.9638159275054932
664,200,221,1,19.31999969482422,0.9844364523887634,1.0,0.9862863123362299,,0.9119433760643005,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9980486631393433,0.9998698234558105,0.9974389729904295,0.9992918836085086,0.9548314809799194,1.0,0,0.9947551927620496,0.9359017610549927,0.9442847371101379
1122,200,158,2,31.939998626708984,0.9966432452201843,0.9999869465827942,0.9956527246348071,1.0,0.9246733784675598,1.0,0,1.000732249564421,0.9716477394104004,0.9819862842559814
793,200,102,5,31.90999984741211,0.9990242719650269,0.9997881650924683,0.9978879888079129,0.9992872428296634,0.9701455235481262,1.0,0,0.9995390914232438,0.9551831483840942,0.9616565704345703
1129,200,122,6,22.7450008392334,0.9960141181945801,0.9992141723632812,0.987500560385488,0.9570962201078184,0.8408027291297913,1.0,0,0.9902293845373875,0.9091116786003113,0.9307364225387573
