unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,21.42522621154785,4.991264343261719,12.53050980636828,12.99011609390252,12.987862025518055,1.0,1.0,1.0,0.4596062875342408,0.45735221914977586,0.0
94,100,29,12,3.4893321990966797,3.72216796875,0.2328357696533203,2.1674297179864177,2.0297963591784676,2.0581229508824452,0.9552500247955322,0.9451000094413757,0.947350025177002,-0.13763335880795013,-0.10930676710397247,-0.010150015354156494
337,100,274,4,4.1204514503479,4.328279495239258,0.20782804489135742,3.1508394835087925,2.9913739863666176,3.0233554839658687,0.986299991607666,0.9829999804496765,0.9836500287055969,-0.15946549714217495,-0.12748399954292378,-0.003300011157989502
1143,100,134,7,6.047300815582275,6.852049350738525,0.80474853515625,5.323439750626826,5.184099527070007,5.189794010772393,0.9993500113487244,0.9978500008583069,0.9981499910354614,-0.13934022355681908,-0.1336457398544333,-0.0015000104904174805
720,100,172,6,3.3256125450134277,3.30409836769104,-0.021514177322387695,2.1755699332273646,2.0067823895877006,2.058106042025559,0.9448500275611877,0.9301999807357788,0.9345999956130981,-0.16878754363966397,-0.11746389120180556,-0.014650046825408936
664,100,221,3,3.72355318069458,4.476877212524414,0.753324031829834,1.0400025856645227,0.9664355300145657,0.9901666039167176,0.7771499752998352,0.760200023651123,0.7664999961853027,-0.07356705564995702,-0.049835981747805125,-0.016949951648712158
1300,100,134,5,4.578506946563721,5.236425876617432,0.6579189300537109,4.074252488212588,3.855870953408033,3.8765802757029677,0.9939500093460083,0.9918000102043152,0.9926999807357788,-0.21838153480455524,-0.19767221250962042,-0.0021499991416931152
1122,100,158,2,5.306804656982422,6.207374572753906,0.9005699157714844,3.796643915047218,3.651601808228868,3.665679532716272,0.9973499774932861,0.9963499903678894,0.9966999888420105,-0.14504210681834984,-0.1309643823309461,-0.0009999871253967285
793,100,102,5,7.0905632972717285,9.920641899108887,2.830078601837158,8.566411202380156,8.694911710718753,8.736462574121447,1.0,1.0,1.0,0.12850050833859683,0.17005137174129104,0.0
1129,100,122,7,3.9321558475494385,4.28497838973999,0.35282254219055176,2.144590069262506,1.9273912564125872,1.9959083813475782,0.9578499794006348,0.9399999976158142,0.9463499784469604,-0.2171988128499187,-0.14868168791492775,-0.017849981784820557
