micro_step,optimizer_step,samples_seen,elapsed_s,gradient_noise_scale,gradient_noise_scale_ema,resolved,pairwise_cosine_mean,pairwise_cosine_min,pairwise_cosine_max,physical_batch,accumulation_target,proposed_accumulation,active_effective_batch,proposed_effective_batch,lr
0,0,0,0.0,3.0049430274314526,3.004943027431453,True,0.7447052597999573,0.2972131073474884,0.9280868172645569,64,1,1,64,64,1.1852554225435582e-07
1,1,64,0.883763,2.023003104781453,2.465564656257306,True,0.8072877526283264,0.5333470106124878,0.9503986835479736,64,1,1,64,64,2.3705108450871164e-07
6,6,384,1.214289,2.1729136302031042,2.3146185533967647,True,0.8204747438430786,0.6223859190940857,0.9288437366485596,64,1,1,64,64,8.296787957804907e-07
38,38,2432,2.26613,3.2437885687105945,2.7400972983516256,True,0.7125428915023804,0.40959224104881287,0.9488739371299744,64,1,1,64,64,4.622496147919877e-06
237,237,15168,8.342937,5.401002292749564,3.8469821666800086,True,0.5894755721092224,0.31665927171707153,0.8079798817634583,64,1,1,64,64,2.8209079056536684e-05
1468,1468,93952,45.836841,14.704280657580805,7.5211106535917365,True,0.3876476287841797,-0.4197429120540619,0.752898097038269,64,1,1,64,64,0.0001741140215716487
9087,9087,581568,277.559055,90.16662827717802,26.04137455154642,True,0.09365390241146088,-0.24765482544898987,0.4577125608921051,64,1,1,64,64,0.0009999866930959515
56248,56248,3599872,1709.670032,54.93392013044177,37.8226756020984,True,0.11418468505144119,-0.2347104698419571,0.4738648533821106,64,1,1,64,64,0.0009298045254147912
84372,84372,5399808,2813.576905,11.764607802951616,21.09428701134396,True,0.3783452808856964,-0.12132645398378372,0.786919891834259,64,1,1,64,64,0.0008296729711034244
112497,112497,7199808,3670.847762,11.67557120078807,15.693560779211499,True,0.40167221426963806,0.0482972152531147,0.6300391554832458,64,1,1,64,64,0.000697856893546088
140621,140621,8999744,4525.458183,625.4813041825973,99.07587427547669,True,0.010646198876202106,-0.34547823667526245,0.46811601519584656,64,1,2,64,128,0.0005480716178528477
168746,154683,10799744,5598.282075,1761.9752586625455,417.8148384197848,True,0.004138967953622341,-0.3172135353088379,0.40206730365753174,64,2,8,128,512,0.00039588739071678297
196870,158199,12599680,6427.562617,,417.8148384197848,False,-0.03976636007428169,-0.4510793387889862,0.19434981048107147,64,8,8,512,512,0.00025713712919572313
224994,161714,14399616,7527.591943,220.15346616027242,303.2876273297508,True,0.021158739924430847,-0.4913614094257355,0.5255515575408936,64,8,4,512,256,0.0001462415135733482
253119,168746,16199616,8360.913388,244.7223198037561,272.435775418563,True,0.03852343559265137,-0.4554111957550049,0.29585474729537964,64,4,4,256,256,7.469662657720797e-05
281243,175777,17999552,9193.869944,,272.435775418563,False,-0.01341878343373537,-0.30386388301849365,0.289385586977005,64,4,4,256,256,5.000000003149576e-05
