base_width,schedule,batch_size,parameters,step_seconds,windows_per_second,peak_allocated_gib,peak_reserved_gib,status
544,544-1088-2176-4352,256,219035944,4.006046194466762,63.903406893708,8.967813968658447,10.56640625,ok
576,576-1152-2304-4608,256,245519752,4.490054484456778,57.01489834615487,9.52758502960205,10.560546875,ok
608,608-1216-2432-4864,256,273514984,4.999764284002595,51.20241384560983,10.153074264526367,10.591796875,ok
640,640-1280-2560-5120,256,303021640,5.645987361553125,45.34193642431008,9.851656436920166,10.564453125,ok
704,704-1408-2816-5632,256,366569224,,0.0,10.317806720733643,10.70703125,oom
768,768-1536-3072-6144,256,436162504,,0.0,10.663721561431885,10.720703125,oom
896,896-1792-3584-7168,256,593486152,,0.0,10.49820852279663,10.59375,oom
1024,1024-2048-4096-8192,256,774992584,,0.0,10.597453117370605,10.7109375,oom
544,544-1088-2176-4352,128,219035944,2.108958456898108,60.69346675906768,7.592479705810547,9.939453125,ok
576,576-1152-2304-4608,128,245519752,2.350917859002948,54.44681936028438,6.896952152252197,7.865234375,ok
608,608-1216-2432-4864,128,273514984,2.632028479478322,48.63169262718999,7.5430908203125,8.58984375,ok
640,640-1280-2560-5120,128,303021640,2.8838049574987963,44.38580343901549,8.154949188232422,9.248046875,ok
704,704-1408-2816-5632,128,366569224,3.5309165915241465,36.251210325177304,9.516664028167725,10.693359375,ok
768,768-1536-3072-6144,128,436162504,4.120357563486323,31.065265095997265,10.154599666595459,10.59765625,ok
896,896-1792-3584-7168,128,593486152,,0.0,10.32093620300293,10.625,oom
1024,1024-2048-4096-8192,128,774992584,,0.0,10.536301612854004,10.68359375,oom
544,544-1088-2176-4352,64,219035944,1.0656820570584387,60.055435461357725,4.495568752288818,5.72265625,ok
576,576-1152-2304-4608,64,245519752,1.1842272789217532,54.04367990768835,4.9674882888793945,6.251953125,ok
608,608-1216-2432-4864,64,273514984,1.3470368185080588,47.51169316283771,5.401378631591797,6.880859375,ok
640,640-1280-2560-5120,64,303021640,1.4672265970148146,43.619710909148544,5.8922247886657715,7.435546875,ok
704,704-1408-2816-5632,64,366569224,1.8078320120694116,35.40151937388236,6.9630961418151855,8.908203125,ok
768,768-1536-3072-6144,64,436162504,2.1226843144977465,30.150503097839678,8.137011051177979,10.267578125,ok
896,896-1792-3584-7168,64,593486152,,0.0,10.319097518920898,10.734375,oom
1024,1024-2048-4096-8192,64,774992584,,0.0,10.529984474182129,10.63671875,oom
