model_label,evaluation,temporal_ms,spatial_support,n_channels,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep,units_improved
ib_origdi_s0,crossfit,0.5,endpoint,8.8,4.051495043996343,3.891099238303836,-0.1603958056925072,0.9304724961519242,0.8956000000238419,2
ib_origdi_s0,crossfit,0.5,top1,1.0,4.288724128942798,4.152545210351976,-0.1361789185908223,0.9828525006771088,0.969174998998642,3
ib_origdi_s0,crossfit,0.5,top16,16.0,2.7687390458475702,2.501797059838924,-0.2669419860086464,0.8909599959850312,0.8471549957990646,1
ib_origdi_s0,crossfit,0.5,top2,2.0,4.51783802418974,4.358269025146361,-0.159568999043379,0.9679650008678437,0.9411850035190582,2
ib_origdi_s0,crossfit,0.5,top24,24.0,2.397277050218966,2.1326085193826185,-0.2646685308363482,0.8642800003290176,0.818815004825592,1
ib_origdi_s0,crossfit,0.5,top4,4.0,4.36691289149565,4.132511000094479,-0.2344018914011714,0.9608150094747544,0.9336750030517578,2
ib_origdi_s0,crossfit,0.5,top8,8.0,3.843337185285852,3.570279550406956,-0.2730576348788963,0.941374996304512,0.9072099983692168,1
ib_origdi_s0,crossfit,1.0,endpoint,8.8,3.770145222373002,3.563591671907176,-0.2065535504658264,0.909999993443489,0.8732499927282333,1
ib_origdi_s0,crossfit,1.0,top1,1.0,4.348291067267664,4.20625111943202,-0.1420399478356435,0.9842900037765504,0.9701899945735932,3
ib_origdi_s0,crossfit,1.0,top16,16.0,2.179050090425487,1.918103045079873,-0.2609470453456134,0.8542449980974197,0.8085549980401993,1
ib_origdi_s0,crossfit,1.0,top2,2.0,4.542624286974041,4.37238156687898,-0.1702427200950612,0.9670550048351289,0.940009993314743,2
ib_origdi_s0,crossfit,1.0,top24,24.0,1.75649139763263,1.5132975428076374,-0.2431938548249925,0.8219149947166443,0.7747699975967407,1
ib_origdi_s0,crossfit,1.0,top4,4.0,4.212945742364385,3.920904909065898,-0.2920408332984855,0.956875005364418,0.9308499991893768,1
ib_origdi_s0,crossfit,1.0,top8,8.0,3.470651578295172,3.173686934408331,-0.296964643886841,0.9251599997282028,0.8877600014209748,1
ib_origdi_s0,crossfit,2.0,endpoint,8.8,3.66026029313232,3.4203136683543534,-0.239946624777967,0.8801199942827225,0.8476300030946732,1
ib_origdi_s0,crossfit,2.0,top1,1.0,4.500998460714556,4.196094091452854,-0.3049043692617027,0.985935002565384,0.9669400036334992,2
ib_origdi_s0,crossfit,2.0,top16,16.0,1.867978686612907,1.642032335588891,-0.2259463510240154,0.8118950009346009,0.7689200073480607,1
ib_origdi_s0,crossfit,2.0,top2,2.0,4.644513918944951,4.321611172639623,-0.322902746305329,0.9603650003671648,0.9332800030708313,2
ib_origdi_s0,crossfit,2.0,top24,24.0,1.468720018226848,1.2763790135504185,-0.1923410046764296,0.7786399990320205,0.7375450015068055,1
ib_origdi_s0,crossfit,2.0,top4,4.0,4.165077024199431,3.791129534611204,-0.3739474895882263,0.9513299971818924,0.9219900041818618,1
ib_origdi_s0,crossfit,2.0,top8,8.0,3.2090415632404303,2.9268716262334373,-0.2821699370069927,0.9000549942255021,0.8569350004196167,1
ib_origdi_s0,crossfit,3.0,endpoint,8.8,3.5491704997032985,3.3252907523768216,-0.2238797473264775,0.8674750000238418,0.8353499948978425,1
ib_origdi_s0,crossfit,3.0,top1,1.0,4.519167352645535,4.188290500825563,-0.3308768518199719,0.9869599968194962,0.9662050038576128,2
ib_origdi_s0,crossfit,3.0,top16,16.0,1.6003571824107976,1.4104232055715369,-0.1899339768392606,0.7824650019407272,0.7412049978971481,1
ib_origdi_s0,crossfit,3.0,top2,2.0,4.637676540928164,4.297731054963808,-0.3399454859643565,0.9560149997472764,0.9293599963188172,2
ib_origdi_s0,crossfit,3.0,top24,24.0,1.2295871215301124,1.078550392286316,-0.1510367292437966,0.7462449967861176,0.7092700064182281,1
ib_origdi_s0,crossfit,3.0,top4,4.0,4.127572232252275,3.735257792778838,-0.3923144394734374,0.9453349977731704,0.9154900014400482,1
ib_origdi_s0,crossfit,3.0,top8,8.0,2.996536799809085,2.7495694475703245,-0.2469673522387606,0.8825750023126602,0.8363300025463104,1
ib_origdi_s0,crossfit,4.0,endpoint,8.8,3.4596441944256107,3.26586240302982,-0.19378179139579,0.8545499950647354,0.8236899971961975,1
ib_origdi_s0,crossfit,4.0,top1,1.0,4.495970831502698,4.1819860841591865,-0.3139847473435109,0.9862699985504152,0.9646450012922289,2
ib_origdi_s0,crossfit,4.0,top16,16.0,1.4915490646846363,1.327458106794279,-0.1640909578903574,0.7647150009870529,0.727020001411438,1
ib_origdi_s0,crossfit,4.0,top2,2.0,4.604363810615881,4.282049470226797,-0.3223143403890838,0.9520599961280822,0.9252549976110458,2
ib_origdi_s0,crossfit,4.0,top24,24.0,1.1070470225037006,0.9775184226476183,-0.1295285998560822,0.7286699950695038,0.6960699945688248,1
ib_origdi_s0,crossfit,4.0,top4,4.0,4.076421917413783,3.701968653377802,-0.3744532640359809,0.9399599999189376,0.9109150022268296,1
ib_origdi_s0,crossfit,4.0,top8,8.0,2.856724770326312,2.6547646888798964,-0.2019600814464154,0.8663399934768676,0.8226800054311753,1
ib_origdi_s0,in_sample,0.5,endpoint,5.4,4.41850422967063,4.188128467914573,-0.2303757617560577,0.9646900057792664,0.9384100019931794,2
ib_origdi_s0,in_sample,0.5,top1,1.0,4.374111455075767,4.177064447715615,-0.1970470073601528,0.9833000004291534,0.96941499710083,3
ib_origdi_s0,in_sample,0.5,top16,16.0,3.6129135514776136,3.350782917682137,-0.262130633795477,0.9395850002765656,0.9064950048923492,1
ib_origdi_s0,in_sample,0.5,top2,2.0,4.671888699314472,4.437173733880485,-0.2347149654339878,0.9795525074005128,0.9551700055599212,2
ib_origdi_s0,in_sample,0.5,top24,24.0,3.1691621034735804,2.8951965174253607,-0.2739655860482195,0.9214899957180024,0.8807600021362305,1
ib_origdi_s0,in_sample,0.5,top4,4.0,4.483480626573427,4.215837941707848,-0.2676426848655785,0.9643699944019316,0.9415499985218048,2
ib_origdi_s0,in_sample,0.5,top8,8.0,4.176781167999076,3.908674940517548,-0.2681062274815284,0.9579800009727478,0.9327699959278106,2
ib_origdi_s0,in_sample,1.0,endpoint,5.4,4.508282213408092,4.240644650164709,-0.2676375632433826,0.9649599909782408,0.9400950014591216,2
ib_origdi_s0,in_sample,1.0,top1,1.0,4.443492779350523,4.251474648369305,-0.1920181309812182,0.9850700080394744,0.9710749924182892,3
ib_origdi_s0,in_sample,1.0,top16,16.0,3.430574233556148,3.110440699682377,-0.3201335338737699,0.93887500166893,0.8995049893856049,1
ib_origdi_s0,in_sample,1.0,top2,2.0,4.712185312525959,4.470068942481935,-0.2421163700440244,0.97780499458313,0.9546649932861327,2
ib_origdi_s0,in_sample,1.0,top24,24.0,2.7030773868118,2.393706727210327,-0.3093706596014726,0.9168550074100494,0.8716900050640106,1
ib_origdi_s0,in_sample,1.0,top4,4.0,4.537993326317582,4.246517118707125,-0.2914762076104567,0.9646050035953522,0.943645006418228,2
ib_origdi_s0,in_sample,1.0,top8,8.0,4.157795963701892,3.832075454048289,-0.325720509653603,0.9606149911880492,0.9359899938106536,2
ib_origdi_s0,in_sample,2.0,endpoint,5.4,4.519181238870418,4.136185448657843,-0.3829957902125754,0.9648149967193604,0.9351700007915495,1
ib_origdi_s0,in_sample,2.0,top1,1.0,4.59451875579853,4.239442879801265,-0.3550758759972641,0.9870450139045716,0.9685249984264374,2
ib_origdi_s0,in_sample,2.0,top16,16.0,3.1123966284365485,2.77416385038186,-0.3382327780546884,0.9329899966716766,0.8927250027656555,1
ib_origdi_s0,in_sample,2.0,top2,2.0,4.852651444195155,4.4373756658131125,-0.415275778382042,0.978039997816086,0.9536849975585936,2
ib_origdi_s0,in_sample,2.0,top24,24.0,2.421972398155956,2.108238762321233,-0.3137336358347224,0.9088749945163728,0.8674300014972687,1
ib_origdi_s0,in_sample,2.0,top4,4.0,4.645866143017519,4.213090215650657,-0.4327759273668622,0.965134996175766,0.943105000257492,1
ib_origdi_s0,in_sample,2.0,top8,8.0,4.113456015801432,3.711579126408996,-0.401876889392436,0.96070499420166,0.9324400067329408,1
ib_origdi_s0,in_sample,3.0,endpoint,5.4,4.514920855605249,4.127550306426812,-0.3873705491784364,0.9628849983215332,0.9328050017356871,1
ib_origdi_s0,in_sample,3.0,top1,1.0,4.645514210071286,4.248376703254103,-0.3971375068171836,0.9883549988269806,0.9688100039958952,2
ib_origdi_s0,in_sample,3.0,top16,16.0,2.9164243031117545,2.5927220236327275,-0.323702279479027,0.9290500044822692,0.8902900040149688,1
ib_origdi_s0,in_sample,3.0,top2,2.0,4.891592851551595,4.447436377997493,-0.4441564735541015,0.9777100026607514,0.9536099970340728,2
ib_origdi_s0,in_sample,3.0,top24,24.0,2.2537043284113034,1.9693947738243596,-0.2843095545869442,0.904295003414154,0.8638450026512146,0
ib_origdi_s0,in_sample,3.0,top4,4.0,4.695882375327578,4.223510778945078,-0.4723715963825,0.9657800137996674,0.9433200001716614,1
ib_origdi_s0,in_sample,3.0,top8,8.0,4.055622885108785,3.643311415343566,-0.4123114697652196,0.9613699972629548,0.933064991235733,1
ib_origdi_s0,in_sample,4.0,endpoint,5.4,4.496968895228467,4.124531922866415,-0.3724369723620527,0.9612049996852876,0.9308950066566468,1
ib_origdi_s0,in_sample,4.0,top1,1.0,4.646533437710379,4.258137879682802,-0.3883955580275767,0.988429993391037,0.9679649949073792,2
ib_origdi_s0,in_sample,4.0,top16,16.0,2.881049319798974,2.580735929418996,-0.3003133903799783,0.9259600043296814,0.8873850107192993,1
ib_origdi_s0,in_sample,4.0,top2,2.0,4.881543325359388,4.447060884710188,-0.4344824406491998,0.9764549970626832,0.9520299971103668,2
ib_origdi_s0,in_sample,4.0,top24,24.0,2.2125274805820063,1.9505767937593084,-0.2619506868226977,0.9020349979400636,0.8639599978923798,1
ib_origdi_s0,in_sample,4.0,top4,4.0,4.687172020698793,4.219773959574588,-0.4673980611242053,0.9649550020694732,0.9418700039386748,1
ib_origdi_s0,in_sample,4.0,top8,8.0,3.9835521704119214,3.579207516704895,-0.4043446537070273,0.9607649981975556,0.9296000003814696,1
