model_label,evaluation,temporal_ms,spatial_support,n_channels,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep,units_improved
ib_w96_om1_s0,crossfit,0.5,endpoint,8.8,4.051495043996343,4.11968173698838,0.0681866929920362,0.9304724961519242,0.9161250025033952,2
ib_w96_om1_s0,crossfit,0.5,top1,1.0,4.288724128942798,4.44621479284236,0.1574906638995625,0.9828525006771088,0.9780800014734268,5
ib_w96_om1_s0,crossfit,0.5,top16,16.0,2.7687390458475702,2.716907606636942,-0.0518314392106282,0.8909599959850312,0.8741299986839295,2
ib_w96_om1_s0,crossfit,0.5,top2,2.0,4.51783802418974,4.614741637779743,0.0969036135900035,0.9679650008678437,0.9556699991226196,4
ib_w96_om1_s0,crossfit,0.5,top24,24.0,2.397277050218966,2.3338731762939275,-0.063403873925039,0.8642800003290176,0.8470449984073639,1
ib_w96_om1_s0,crossfit,0.5,top4,4.0,4.36691289149565,4.409735718479365,0.0428228269837154,0.9608150094747544,0.948910003900528,3
ib_w96_om1_s0,crossfit,0.5,top8,8.0,3.843337185285852,3.805193456165812,-0.0381437291200399,0.941374996304512,0.9276950001716614,2
ib_w96_om1_s0,crossfit,1.0,endpoint,8.8,3.770145222373002,3.7854279248661458,0.0152827024931435,0.909999993443489,0.8948050022125245,2
ib_w96_om1_s0,crossfit,1.0,top1,1.0,4.348291067267664,4.497310780934184,0.1490197136665206,0.9842900037765504,0.9785399973392488,4
ib_w96_om1_s0,crossfit,1.0,top16,16.0,2.179050090425487,2.096460300300641,-0.082589790124846,0.8542449980974197,0.8356949985027313,1
ib_w96_om1_s0,crossfit,1.0,top2,2.0,4.542624286974041,4.632957753395589,0.0903334664215473,0.9670550048351289,0.954619997739792,3
ib_w96_om1_s0,crossfit,1.0,top24,24.0,1.75649139763263,1.6686730631721598,-0.0878183344604698,0.8219149947166443,0.8022150039672852,1
ib_w96_om1_s0,crossfit,1.0,top4,4.0,4.212945742364385,4.199870809405118,-0.0130749329592663,0.956875005364418,0.9452249944210052,2
ib_w96_om1_s0,crossfit,1.0,top8,8.0,3.470651578295172,3.402593765438509,-0.0680578128566628,0.9251599997282028,0.9108050018548964,2
ib_w96_om1_s0,crossfit,2.0,endpoint,8.8,3.66026029313232,3.644005450282175,-0.0162548428501462,0.8801199942827225,0.8655549943447113,2
ib_w96_om1_s0,crossfit,2.0,top1,1.0,4.500998460714556,4.501502221173524,0.0005037604589676,0.985935002565384,0.9772950053215028,2
ib_w96_om1_s0,crossfit,2.0,top16,16.0,1.867978686612907,1.781544126898246,-0.0864345597146607,0.8118950009346009,0.7923900067806244,1
ib_w96_om1_s0,crossfit,2.0,top2,2.0,4.644513918944951,4.613478531299282,-0.0310353876456699,0.9603650003671648,0.9468049973249436,2
ib_w96_om1_s0,crossfit,2.0,top24,24.0,1.468720018226848,1.3898932341183532,-0.0788267841084948,0.7786399990320205,0.7584800004959107,1
ib_w96_om1_s0,crossfit,2.0,top4,4.0,4.165077024199431,4.083150366956734,-0.0819266572426965,0.9513299971818924,0.9379299968481064,2
ib_w96_om1_s0,crossfit,2.0,top8,8.0,3.2090415632404303,3.149305078941242,-0.0597364842991881,0.9000549942255021,0.883270001411438,2
ib_w96_om1_s0,crossfit,3.0,endpoint,8.8,3.5491704997032985,3.5352744096298045,-0.0138960900734938,0.8674750000238418,0.8524449974298477,2
ib_w96_om1_s0,crossfit,3.0,top1,1.0,4.519167352645535,4.506752119798105,-0.0124152328474296,0.9869599968194962,0.9777249962091444,2
ib_w96_om1_s0,crossfit,3.0,top16,16.0,1.6003571824107976,1.532856524630131,-0.0675006577806667,0.7824650019407272,0.7643900036811828,1
ib_w96_om1_s0,crossfit,3.0,top2,2.0,4.637676540928164,4.5926070089560245,-0.0450695319721395,0.9560149997472764,0.9413199931383132,2
ib_w96_om1_s0,crossfit,3.0,top24,24.0,1.2295871215301124,1.1673790482636048,-0.0622080732665075,0.7462449967861176,0.7294550001621246,1
ib_w96_om1_s0,crossfit,3.0,top4,4.0,4.127572232252275,4.034179569410507,-0.0933926628417687,0.9453349977731704,0.9319249987602234,2
ib_w96_om1_s0,crossfit,3.0,top8,8.0,2.996536799809085,2.9444392902690675,-0.052097509540018,0.8825750023126602,0.8642400056123734,2
ib_w96_om1_s0,crossfit,4.0,endpoint,8.8,3.4596441944256107,3.458373744496069,-0.0012704499295411,0.8545499950647354,0.8399199992418289,2
ib_w96_om1_s0,crossfit,4.0,top1,1.0,4.495970831502698,4.489127501844739,-0.0068433296579578,0.9862699985504152,0.9763900011777876,2
ib_w96_om1_s0,crossfit,4.0,top16,16.0,1.4915490646846363,1.4339880668849716,-0.0575609977996648,0.7647150009870529,0.7474050045013427,1
ib_w96_om1_s0,crossfit,4.0,top2,2.0,4.604363810615881,4.5681626762993774,-0.0362011343165037,0.9520599961280822,0.9378500014543534,2
ib_w96_om1_s0,crossfit,4.0,top24,24.0,1.1070470225037006,1.0529087347557375,-0.0541382877479631,0.7286699950695038,0.7126149982213974,1
ib_w96_om1_s0,crossfit,4.0,top4,4.0,4.076421917413783,3.9888257993529415,-0.0875961180608413,0.9399599999189376,0.9272799998521803,2
ib_w96_om1_s0,crossfit,4.0,top8,8.0,2.856724770326312,2.821569383763445,-0.0351553865628675,0.8663399934768676,0.8492700040340424,2
ib_w96_om1_s0,in_sample,0.5,endpoint,5.4,4.41850422967063,4.436932923359829,0.0184286936891987,0.9646900057792664,0.9530400097370147,2
ib_w96_om1_s0,in_sample,0.5,top1,1.0,4.374111455075767,4.550128890322117,0.17601743524635,0.9833000004291534,0.9781700015068054,5
ib_w96_om1_s0,in_sample,0.5,top16,16.0,3.6129135514776136,3.520382136789518,-0.0925314146880962,0.9395850002765656,0.9262650012969972,1
ib_w96_om1_s0,in_sample,0.5,top2,2.0,4.671888699314472,4.7327223243886944,0.0608336250742223,0.9795525074005128,0.9686699986457824,4
ib_w96_om1_s0,in_sample,0.5,top24,24.0,3.1691621034735804,3.0761831788691025,-0.0929789246044778,0.9214899957180024,0.9046649992465972,1
ib_w96_om1_s0,in_sample,0.5,top4,4.0,4.483480626573427,4.477581140591019,-0.0058994859824085,0.9643699944019316,0.9531300067901612,3
ib_w96_om1_s0,in_sample,0.5,top8,8.0,4.176781167999076,4.116584284093078,-0.0601968839059979,0.9579800009727478,0.946280002593994,2
ib_w96_om1_s0,in_sample,1.0,endpoint,5.4,4.508282213408092,4.506229188037912,-0.0020530253701808,0.9649599909782408,0.9535350024700164,2
ib_w96_om1_s0,in_sample,1.0,top1,1.0,4.443492779350523,4.62529590995087,0.1818031306003478,0.9850700080394744,0.9791699945926666,3
ib_w96_om1_s0,in_sample,1.0,top16,16.0,3.430574233556148,3.3205910450606995,-0.1099831884954485,0.93887500166893,0.923420000076294,1
ib_w96_om1_s0,in_sample,1.0,top2,2.0,4.712185312525959,4.7658186874020325,0.0536333748760737,0.97780499458313,0.966760003566742,2
ib_w96_om1_s0,in_sample,1.0,top24,24.0,2.7030773868118,2.578804806230294,-0.1242725805815058,0.9168550074100494,0.8978399991989136,1
ib_w96_om1_s0,in_sample,1.0,top4,4.0,4.537993326317582,4.523950472610679,-0.0140428537069035,0.9646050035953522,0.9544399976730348,2
ib_w96_om1_s0,in_sample,1.0,top8,8.0,4.157795963701892,4.077711834203991,-0.0800841294979006,0.9606149911880492,0.9487299978733064,2
ib_w96_om1_s0,in_sample,2.0,endpoint,5.4,4.519181238870418,4.438724035529942,-0.0804572033404747,0.9648149967193604,0.9515700042247772,2
ib_w96_om1_s0,in_sample,2.0,top1,1.0,4.59451875579853,4.636766014418302,0.042247258619772,0.9870450139045716,0.9787099957466124,2
ib_w96_om1_s0,in_sample,2.0,top16,16.0,3.1123966284365485,2.9967078756383674,-0.115688752798181,0.9329899966716766,0.9163250029087068,2
ib_w96_om1_s0,in_sample,2.0,top2,2.0,4.852651444195155,4.769858690157725,-0.0827927540374304,0.978039997816086,0.9657099962234496,2
ib_w96_om1_s0,in_sample,2.0,top24,24.0,2.421972398155956,2.2790923975806106,-0.1428800005753448,0.9088749945163728,0.8896549999713897,1
ib_w96_om1_s0,in_sample,2.0,top4,4.0,4.645866143017519,4.527882168631984,-0.1179839743855351,0.965134996175766,0.954260003566742,2
ib_w96_om1_s0,in_sample,2.0,top8,8.0,4.113456015801432,3.996488866298293,-0.1169671495031386,0.96070499420166,0.9485399901866912,2
ib_w96_om1_s0,in_sample,3.0,endpoint,5.4,4.514920855605249,4.431441984691723,-0.0834788709135257,0.9628849983215332,0.9498499929904938,2
ib_w96_om1_s0,in_sample,3.0,top1,1.0,4.645514210071286,4.661334286612697,0.01582007654141,0.9883549988269806,0.9792999982833862,2
ib_w96_om1_s0,in_sample,3.0,top16,16.0,2.9164243031117545,2.808902188317533,-0.1075221147942218,0.9290500044822692,0.9129200041294098,1
ib_w96_om1_s0,in_sample,3.0,top2,2.0,4.891592851551595,4.78908665833426,-0.1025061932173346,0.9777100026607514,0.9653400123119354,2
ib_w96_om1_s0,in_sample,3.0,top24,24.0,2.2537043284113034,2.12833042036335,-0.1253739080479534,0.904295003414154,0.88542999625206,1
ib_w96_om1_s0,in_sample,3.0,top4,4.0,4.695882375327578,4.558595760545603,-0.1372866147819746,0.9657800137996674,0.9551099896430968,2
ib_w96_om1_s0,in_sample,3.0,top8,8.0,4.055622885108785,3.9190684357154666,-0.1365544493933188,0.9613699972629548,0.9494649946689606,2
ib_w96_om1_s0,in_sample,4.0,endpoint,5.4,4.496968895228467,4.414106610969698,-0.0828622842587682,0.9612049996852876,0.9481750011444092,2
ib_w96_om1_s0,in_sample,4.0,top1,1.0,4.646533437710379,4.6615880190769605,0.0150545813665813,0.988429993391037,0.9787949979305268,2
ib_w96_om1_s0,in_sample,4.0,top16,16.0,2.881049319798974,2.774830225444944,-0.1062190943540301,0.9259600043296814,0.9090599954128266,1
ib_w96_om1_s0,in_sample,4.0,top2,2.0,4.881543325359388,4.780713826631713,-0.1008294987276754,0.9764549970626832,0.9641499996185304,2
ib_w96_om1_s0,in_sample,4.0,top24,24.0,2.2125274805820063,2.089203688525592,-0.1233237920564142,0.9020349979400636,0.8829099893569946,1
ib_w96_om1_s0,in_sample,4.0,top4,4.0,4.687172020698793,4.54593512672209,-0.1412368939767034,0.9649550020694732,0.9540749967098237,2
ib_w96_om1_s0,in_sample,4.0,top8,8.0,3.9835521704119214,3.843580089481958,-0.1399720809299645,0.9607649981975556,0.9478800058364868,2
